CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	STEDT_ID	SEMANTIC_CATEGORY	LINE_IN_SOURCE
10	FIREWOOD	firewood	203828	2c.3/1	2336
100	FAITHFUL	faithful	1220	5c/3.1	3834
1000	ANXIETY	anxiety	292712	5d/1.7.2	4435
1001	BLACKSMITH	smith	746	3a/3.1.4	2505
1002	STATUE	statue	126165	9d/	6182
1003	PERMIT	allow	1409	4f.1/	3490
1004	MUSCLE	muscle	10101	1a/6.6.2	560
1005	TWINS	twin	160436	3b/2	2625
1006	BRICK	brick	198167	9c/3	5916
1007	COW	cow	397	2a.1/1	1088
1008	BULL	bull	185645	2a.1/1	1085
101	BOAST	boast	1473	5f/15	4707
1010	BOUNDARY	boundary	50521	6j/7	5305
1011	BRIDGE	bridge	204287	6k/2	5362
1013	FRESHWATER EEL	eel	233239	2a.1/13	1205
1014	OR	or	21720	8/1.2.1	5468
1016	DRIZZLE	drizzle	170928	2c.1/4	2192
1017	APPEARANCE	appearance	150803	6c/	4872
1018	MEMORY	memory	128353	5d/1.16.1	4380
1019	RIGHT	right	182714	1a/5.	341
102	COMMON COLD (DISEASE)	common	1192	5c/7.2	4070
1020	HANDKERCHIEF	kerchief	76746	3c/2.2	2728
1021	TOWEL	towel	160288	3c/4	2765
1025	WHISTLE	whistle	2083	5f/5	4776
1027	BUG	bug	457	2a.1/14	1235
1028	YAWN	gape	283588	1b/3.1	921
1029	JEWEL	jewel	62	3c/3	2749
1030	NECESSARY	necessary	170566	6d/2	4969
1033	GRIND	grind	212651	6c/	4917
1035	GOOD	good	223820	5c/8.1	4085
1036	OWNER	owner	246498	4f.1/	3520
1038	TEACHER	teacher	195872	4f.1/	3535
1039	SHOW	show	1967	4a/2.8	2954
1040	HAIR	hair	588	1a/2.3	119
1041	INCREASE	increase	21607	6c/	4920
1042	CARPENTER	carpenter	195515	3a/3.1.4	2499
1043	BRAID	braid	213365	1a/2.3.2	126
1044	PILLOW	cushion	78053	9c/4	5957
1046	SHUT	shut	1969	4a/1.6	2797
1047	PURSUE	chase	1509	4b.4/10	3169
1048	LINE	line	21456	6e/	4989
1049	MOLAR TOOTH	molar	9961	1a/3.4.2	250
1050	MOTHER-IN-LAW	mother-in-law	196892	3b/4	2654
1052	LIGHT (WEIGHT)	lightweight	9003	5c/2.1	3767
1053	HUNTER	hunter	734	4a/2.1	2825
1054	SMALLPOX	smallpox	194597	9a/1	5602
1055	FATHER-IN-LAW	father-in-law	196841	3b/4	2652
1056	SON-IN-LAW	son-in-law	197402	3b/4	2656
1057	DAUGHTER-IN-LAW	daughter-in-law	197351	3b/4	2651
106	SATIATED	satiated	178854	1a/1.3.2	37
1061	ARMOUR	armor	339644	9e/	6209
1062	LAW	law	244149	9d/	6121
1063	NEPHEW	nephew	197453	3b/3	2644
1064	SHIELD	shield	18531	9e/	6250
1065	SPIDER WEB	web	595	2a.1/14	1301
1066	CRIME	crime	807	4b.1/	3037
1067	JUDGMENT	judgment	243463	5d/3.3.1	4517
1068	COURT	court	272466	9d/	6081
1069	GLUE	glue	154517	9a/2	5611
107	OMEN	omen	848	9d/3.2	6055
1071	HOOK	hook	729	9a/2	5612
1072	PRISONER	prisoner	36587	9c/1	5905
1074	FISHHOOK	fish-hook	49783	2a.1/13	1208
1075	TRAP (PITFALL)	trap	728	9e/	6258
1076	EMERGE (APPEAR)	emerge	8969	4b.4/2	3196
1077	WHEAT	wheat	189548	2b.1/3.1	1536
1078	MAIN	main	305988	5c/7.1	4062
1079	FEEL	feel	21852	5e/	4606
1080	VULGAR	vulgar	114267	5c/3.1	3900
1082	MERCHANT	merchant	156375	3a/3.1	2486
1084	CALL	call	1493	5f/13	4684
1085	FOLLOW	follow	1687	4b.4/10	3174
1086	WORK (ACTIVITY)	work	675	4a/1	2780
1087	CONCEIVE	conceive	63769	1a/9.2	704
1088	SINK (DESCEND)	sink	1972	4b.3/	3139
109	FOREIGN	foreign	326995	3a/12.3	2442
1090	BE BORN	born	339491	1b/1.2	795
1091	SALTY	salty	225401	2c.1/5	2244
1092	HOPE	hope	1732	5d/1.7.1	4434
1093	MIDDLE	middle	182816	1a/9.3	710
1094	FASTEN	fasten	1672	4d.2/1.3	3427
1095	LET GO OR SET FREE	release	1920	4c.7/1.1	3366
1096	SONG	song	205358	9a/	5779
1097	ABANDON	abandon	1386	4c.7/1.2	3367
1098	WEIGH	weigh	2081	6g/	5053
11	DARKNESS	darkness	984	6b/	4849
1100	COOK (SOMETHING)	cooking	21246	9b/	5826
1101	SUFFER	suffer	2011	4a/	3020
1102	CLIMB	climb	1521	4b.4/7	3271
1103	SACRIFICE	offering	837	9d/2.3	6036
1104	NURSE	nurse	63636	3a/3.1.5	2510
1105	CAMP	camp	35915	6k/5	5419
1107	GO OUT	out	157063	6j/	5343
1108	UNCOVER	uncover	292689	4a/2.1	2888
1109	WOUND	wound	886	1a/8.7.1	673
1111	CAR	car	204440	9a/	5661
1112	SUCCEED	succeed	2009	4a/	3019
1113	WRAP	wrap	213773	4a/2.1	2895
1114	BULLET	bullet	201635	9e/	6222
1115	SPEECH	speech	42265	1a/8.8	676
1117	LIKE	like	216680	5d/1.1.1	4190
1119	DIVIDE	divide	215813	4c.7/4	3386
112	TURTLE	turtle	11169	2a.1/12	1198
1120	HONEST	honest	1250	5d/3.4.1	4521
1121	SECRET	secret	1332	5f/4.2	4748
1122	WAGES	wages	204899	9d/	6204
1123	PREGNANT	pregnant	612	1a/9.2	705
1124	PIPE	pipe	389	9d/	6158
1125	BALD	bald	1175	1b/2.3.3	866
1127	SEND	send	1957	4a/2.2	2921
1128	ORDER	order	1840	5f/1	4632
1129	PAINFUL	painful	1301	1b/1.3	816
113	SHORE	shore	80188	2c.1/4	2213
1132	BEAM	beam	197912	9c/	5991
1133	MATCH	match	203675	2c.3/1	2342
1134	DIVORCE	divorce	1610	9d/	6095
1135	KICK	kick	208775	4a/2.3.4	2939
1136	RABBIT	rabbit	186131	2a.1/16	1324
1137	TENDON	sinew	193577	1a/6.6.1	553
1139	LEOPARD	panther	292354	2a.1/7	1404
1140	FATIGUE	fatigue	217	5d/1.11.10	4247
1141	PITY	pity	1863	5d/2.3.2	4469
1142	URINE	urine	194393	1a/8.5	654
1143	OVEN	oven	18749	9b/	5860
1144	WITNESS	witness	56060	3a/3.3	2524
1145	SWAMP	swamp	64994	2c.1/6	2284
1146	AUBERGINE	eggplant	190415	2b.1/3.2	1546
1147	PURE	pure	856	5c/8.1	4088
1148	BRUISE	bruise	151779	1a/6.2	485
1149	ORPHAN	orphan	22340	3a/9.2	2589
1150	THUNDER	thunder	180215	2c.1/1	2110
1151	VEIL	veil	290737	3c/2.1.1	2699
1152	BEGET	beget	20525	1b/1.2	794
1153	CATTLE	cattle	396	2a.1/1	1087
1155	CAVE	cave	181643	2c.1/8	2296
1156	OPEN	open	1837	4a/2.6.1	2946
1157	BECAUSE	because	162	8/1.2.2	5469
1158	STEP	step	10091	4b.4/4	3233
1159	FART	fart	194444	1a/8.6.2	664
1160	THIEF	thief	799	3a/11.1	2404
1161	THREAD	thread	201431	9a/	5789
1162	INTENTION	intention	291719	5d/1.13.2	4356
1165	MOUSTACHE	moustache	10596	1a/2.5.5	161
1166	MOULD	mould	272813	2b.1/4.1	2026
1167	GRUEL	gruel	200156	9b/	5845
1169	OX	ox	49062	2a.1/1	1095
117	IMITATE	imitate	1739	4a/1.1.2	2786
1171	MIRROR	mirror	203318	3c/3	2752
1172	SHOOT	shoot	215048	4a/2.1	2867
1173	EYEBROW	eyebrow	192047	1a/2.6.6	191
1174	YESTERDAY	yesterday	184550	6i/2	5200
1175	GHOST	ghost	10030	3a/11.2	2408
1176	SPADE	spade	201278	9a/1	5603
1177	DIARRHEA	diarrhea	10322	1a/8.6	655
1178	NOSTRIL	nostril	527	1a/2.8.1	213
118	BEWITCH	bewitch	121935	5d/1.15	4369
1182	NOISE	noise	19113	5c/4.3	3939
1183	PALM OF HAND	palm	544	1a/5.6	414
1185	VULTURE	vulture	18178	2a.1/11.2	1177
1187	GOOSE	goose	187049	2a.1/11.1	1125
1188	CHARCOAL	charcoal	141965	2c.1/5	2229
1189	ULCER	tinea	351518	1a/6.5.3	545
119	DIVE	dive	1608	4b.4/8	3278
1190	HARE	hare	233130	2a.1/16	1320
1192	THREATEN	threaten	2037	5f/1	4640
1193	STEAM	steam	12046	4b.3/	3148
1195	GIVE BIRTH	give birth	329587	1b/1.2	796
1198	MANY	most	267517	5c/2.1	3769
1199	WIFE	wife	197198	3b/4	2659
12	MIDDAY	midday	992	6i/3	5210
120	PITCHER	pitcher	232	9b/	5867
1200	HUSBAND	husband	197147	3b/4	2653
1201	FEATHER	feathers	11179	1a/6.1.1	480
1202	BIG	great	1237	6d/1	4953
1203	LONG	long	221219	6f/	5025
1204	BARK	bark	1448	1b/8.9.4	1030
1205	TONGUE	tongue	192455	1a/3.3	235
1207	YOUNG	young	223718	5c/8.3	4167
1208	CAT	cat	186080	2a.1/7	1397
1209	I	I	229379	3a/2	2460
121	SPIN	spin	1990	4b.4/6	3259
1210	HEAVY	heavy	222290	6d/2	4968
1211	HE	he	11855	3a/2	2456
1212	WE	we	229481	3a/2	2474
1213	YOU	you	1077	3a/2	2475
1214	THIS	these	169177	8/4.3.2	5507
1215	THOU	thou	1078	8/2.3.1	5486
1216	MOTHER	mother	196280	3b/1	2608
1217	FATHER	father	196229	3b/1	2597
1218	ROPE	cord	20001	1a/5.16	375
1219	WORM	worms	64478	2a.1/14	1304
1220	TAIL	tail	188987	1a/4.10.1	279
1221	NOSE	nose	192200	1a/2.8	209
1222	PENIS	penis	8837	1a/9.7	754
1223	HEART	heart	193832	1a/7.1	573
1224	LIVER	liver	193883	1a/7.3	584
1225	DAY (NOT NIGHT)	daytime	76766	6i/2	5185
1226	YEAR	year	183173	6i/1	5179
1227	BOARD	plank	292	9a/	5747
1228	EARTH (SOIL)	soil	48746	2c.1/12	2167
1229	OLD	old	1296	5c/8.3	4145
123	FOREHEAD	forehead	191843	1a/2.5.1	145
1230	DIRTY	dirty	223514	2c.1/12	2151
1231	NEW	new	224126	5c/5.1	3993
1232	WARM	warm	225095	5c/2.4	3807
1233	NIGHT	night	185315	6i/3	5215
1234	SMOOTH	smooth	224942	5c/4.2	3933
1235	WHO	who?	11846	8/6.1	5527
1236	WHAT	what?	11403	8/6.1	5514
1237	WHERE	where?	11848	8/6.1	5520
1238	WHEN	when?	11847	8/6.1	5517
1239	HOW	how?	60929	8/1	5446
124	THORN	thorn	191690	2b.1/1.2	1479
1240	NOT	NEG	231113	8/7.2	5536
1241	SOME	several	158531	6h/	5131
1242	FEW	few	1110	6h/	5080
1243	WIDE	wide	221525	5c/2.1	3779
1244	THICK	thick	221321	6f/	5034
1245	BUTTER	butter	18260	1a/6.4.1	507
1246	SMALL	little	12154	6f/	5024
1247	EAR	ear	192251	1a/2.7	198
1248	EYE	eyes	292139	1a/2.6	169
1251	BELLY	abdomen	551	1a/4.7	311
1252	HOUSE	house	197708	9c/1	5892
1254	HANDLE	handle	32288	9a/	5698
1256	HEAD	head	191792	1a/2.1	91
1257	WING	wing	188682	1a/5.10	350
1258	FINGERNAIL	fingernail	193016	1a/5.17.1	378
126	SWEAT (PERSPIRE)	perspire	1860	1b/8.2	1004
1261	SING	sing	214793	9a/	5775
1262	BROTHER	brothers	20845	3b/2	2615
1263	SISTER	sister	634	3b/2	2621
1264	CHANGE	alter	284687	6c/	4870
1265	HIGH	high	1248	5c/5.3	4029
1266	BRIDE	bride	18808	3a/7.2	2566
1267	NARROW	narrow	221576	5c/2.2	3797
1268	YES	affirmative	12228	8/	5549
1269	NO	NEG+copula	217394	8/7.2	5537
127	EXTINGUISH	extinguish	1664	2c.2/	2317
1270	WHY	why?	49589	8/6.1	5533
1271	DELIGHT	please	21708	5d/1.1.1	4195
1272	AUNT	aunt	638	3b/1	2594
1273	CANDLE	candle	203624	2c.3/1	2327
1274	SALT	salt	200258	2c.1/5	2242
1275	ANSWER	answer	215201	5f/6	4778
1276	AUTUMN	autumn	183632	6i/1	5165
1277	HAND	hand	192761	1a/5.1	343
1278	VOMIT	vomit	207653	1a/8.4.2	644
1280	FALL	fall	205	4b.4/8	3279
1281	PRISON	jail	63379	9c/1	5897
1282	FAT (FROM ANIMALS)	lard	155691	1a/6.4.1	510
1283	TODAY	today	184499	6i/2	5195
1284	BANK	bank	204797	6k/2	5361
1285	IMPORTANT	important	105	5c/7.1	4061
1286	HOT	hot	224993	1b/1.5.1	850
1287	COLD	coldness	292831	5c/2.4	3804
1288	CAP	cap	18505	3c/2.1.1	2687
1289	BABY	infant	155328	3a/9.1	2585
129	CHOKE	choke	211019	1b/3.5.6	942
1290	ELEPHANT	elephant	186233	2a.1/5	1382
1291	BACK	back (of body)	193118	1a/4.8	320
1292	BAD	bad	223871	5c/8.2	4105
1293	MISTAKE	error	287233	4a/	2989
1294	ZERO	zero	228053	6h/	5161
1295	STICK	stick	201839	2b.1/1.2	1476
1296	WALKING STICK	cane	1045	3c/2.2	2723
1297	LEG	legs	132608	1a/5.9	455
1298	NEWSPAPER	newspaper	21294	9a/	5735
13	DECEIT	deceit	18658	5d/3.4.4.2	4534
1300	COUNTRY	country	11791	6k/3	5375
1301	FOOT	feet	279914	1a/5.2	391
1302	FORK	fork	72276	1a/4.9.1	332
1303	FINGER	finger	192965	1a/5.7	417
1305	CHIMNEY	chimney	35932	9c/3.2	5943
1306	QUEEN	queen	69094	3a/5	2540
1307	LANGUAGE	language	206021	9d/	6120
1308	DOUBT	doubt	1612	5d/1.12.1	4326
1309	ASK (INQUIRE)	ask	12060	5f/7.1	4783
131	FESTIVAL	party	157166	3a/12	2425
1310	CLEVER	clever	18385	5c/3.1	3823
1311	VERY	very	230807	5c/8.3	4166
1312	FOX	fox	186692	2a.1/6	1389
1313	MOON	moon	180113	2c.1/3	2181
1314	QUIET	quiet	1312	5c/8.3	4155
1315	RADIO	radio	309557	9d/	6166
1316	TENT	tent	79902	9c/5	5981
1318	CHICKEN	chicken	186845	2a.1/11.1	1115
1319	COWARD	coward	1195	3a/11.3	2413
1320	APPLE	apple	19046	2b.1/3.2	1537
1321	BOTTLE	bottle	202961	9a/	5656
1322	BREAKFAST	breakfast	200003	9b/	5814
1323	CLOCK	clock	238987	9c/4	5955
1324	SLIP	slide	297250	4b.4/4	3232
1325	FRIEND	friend	195056	3a/12.2	2433
1326	DOWN	downward	32238	6j/2	5282
1327	UNCLE	uncle	18790	3b/1	2613
1329	TOMORROW	tomorrow	184652	6i/2	5196
133	WEAVE	weaving	712	9a/	5805
1330	DEFEND	defend	1577	4b.2/	3083
1331	SHEEP	sheep	185978	2a.1/4	1377
1332	NEIGHBOUR	neighbour	21435	3a/12.2	2439
1333	NECK	neck	192608	1a/4.2	285
1334	GUTS	guts	8816	1a/7.7	609
1335	WHITE	white	222800	6b/	4865
1336	EAT	eat!	234478	1b/3.5.7	952
1337	PIG	hog	271751	2a.1/3	1356
1338	PEACE	peace	767	9d/	6153
1339	MORNING	morning	185213	6i/3	5214
134	FAULT	guilt	266574	5d/3.6.2	4549
1340	WITH	with	2183	8/1.1	5463
1342	SUMMER	summer	183581	2c.1/1	2109
1343	SUN	sun	180062	2c.1/11	2140
1344	RAM	ram	233132	2a.1/4	1375
1345	EWE	ewe	36032	2a.1/4	1366
1346	THROAT	throat	192659	1a/3.5	257
1347	NAPE (OF NECK)	nape of neck	10507	1a/4.2.1	287
1348	BOAR (MALE PIG)	boar	186437	2a.1/3	1355
1350	MONKEY	monkey	186488	2a.1/10	1104
1351	SOW (FEMALE PIG)	sow	1986	2a.1/3	1363
1352	KNIFE	knife	200819	9b/	5849
1353	HOUR	hour	285542	6i/3	5207
1354	NEXT	next	1292	6h/	5102
1355	LAUGH	laugh	216527	1a/8.9	680
1356	NUMBER	numbers	281320	6h/	5116
1357	DAUGHTER	daughter	197300	3b/3	2632
1358	ENEMY	enemy	195107	3a/6	2552
1359	SEPARATE	separate	1958	4c.7/4	3393
136	HERE	here	230042	6j/3	5287
1360	DUCK	duck	186998	2a.1/11.1	1120
1361	TOOL	instrument	745	9a/	5706
1362	STREET	street	1064	6k/1	5358
1363	VOICE	voice	206072	5f/5	4775
1364	HEALTHY	healthy	1245	5c/3.1	3850
1365	KITCHEN	kitchen	268	9b/	5847
1366	BOY	boy	169117	1a/9.9.4	778
1367	CROSS	cross	1560	4b.4/10	3170
1368	BREAD	bread	21207	9b/	5813
1369	GOLD	gold	181745	2c.1/5	2234
1370	MONTH	month	183734	6i/1	5173
1371	KNEE	knee	561	1a/5.11.4	362
1372	MEDICINE	drug	340431	9a/2	5609
1373	TEA	tea	500	2b.1/1.1	1445
1374	RING	finger-ring	44394	3c/3	2747
1375	WINDOW	window	198014	9c/3	5929
1376	NOW	now	185366	6i/4	5234
1377	VISIT	visit	2065	4a/2.2	2929
1378	SPOON	spoon	11710	9b/	5880
138	BATHE	bath	35349	4b.3/	3104
1380	TOOTH	teeth	236058	1a/3.4	240
1381	SHOE	shoes	11698	3c/1	2677
1382	NEEDLE (FOR SEWING)	needle	69506	2a.1/13	1215
1383	GRANDFATHER	grandfather	196127	3b/1	2598
1384	SECOND	second	172	6h/	5125
1385	PEPPER	pepper, hot / chili	190772	2b.1/3.3.1	1701
1386	LION	lion	95	2a.1/7	1401
1387	ARRIVE	arrive	217700	4b.4/1	3161
1388	SHADE	shade	11396	2c.1/11	2137
1389	TOE	toe	565	1a/5.7	423
139	GUMS	gum	532	1a/3.4.3	252
1390	WRONG	wrong	1381	5c/8.2	4131
1391	TOWN	town	11789	6k/3	5383
1392	LOUSE	lice	133778	2a.1/14	1275
1393	HORN (ANATOMY)	horns	233931	1a/2.2	112
1394	BONE	bone	569	1a/6.3	490
1395	ROUND	round	221117	6e/	4995
1396	SHARP	sharp	224330	4c.4/1	3319
1398	DRY	dry	224024	4b.3/	3121
1399	CLAY	clay	300	2c.1/12	2148
14	YOKE	yoke	201176	9e/	6265
140	PADDY FIELD	paddy	459	6k/4.0	5407
1400	THIN (SLIM)	slimy	170794	9a/	5778
1401	DRINK	drink	207194	1a/3.5.8	270
1402	BREAST	bosom	10058	1a/4.4.1	298
1403	BITE	bite	207245	1b/3.4.4	929
1404	STRAIGHT	straight	221831	5c/5.1	4008
1405	NAME	name	206327	9d/	6136
1406	FAR	distant	153102	6j/7	5308
1407	BREATHE	breathe	1483	1b/1.2.2	805
1408	HEAR	hear	1722	1a/2.7.4	206
1409	SEE	see	206939	1a/2.6.9	196
1411	LIE (REST)	lie	12071	5f/10.4	4666
1412	RUDE	rude	1327	5c/10	3724
1413	PLAY	play	214640	4a/1.3	2787
1414	SQUEEZE	squeeze	9026	6c/	4939
1416	SIT	sit	209234	4a/1.4.1	2789
1417	KILL	kill	212243	4b.1/	3047
1418	DIG	dig	210407	4c.8/	3400
1419	FEAR (BE AFRAID)	afraid	1166	5c/1	3697
1420	COUNT	count	211478	4a/2.2	2899
1421	SUCK	suck	2010	1a/3.2.1	229
1422	BE ALIVE	living	79495	1b/1.2.1	802
1423	FIGHT	fight	216119	4b.2/	3084
1424	YELLOW	yellow	222698	6b/	4867
1425	GREEN	green	222902	6b/	4852
1426	EXPENSIVE	expensive	224636	9d/	6101
1427	BEAUTIFUL	beautiful	223157	5c/3.2	3904
1428	BURNING	burning	55928	2c.2/	2315
1429	FULL	full	223106	1a/1.3.2	35
1430	STAR	star	180164	2c.1/3	2184
1431	FREEZE	freeze	1695	6c/	4915
1432	CUT	cut	210611	4c.4/2	3330
1433	HIT	hit	1729	4c.1/	3301
1434	STAB	prick	212447	5e/	4617
1435	HUNT	hunting	733	4a/2.1	2826
1436	SCRATCH	scratch	208265	1a/6.5.4	550
1437	SPLIT	split	18418	4c.4/2	3341
1438	FOOL	fool	93	5c/3.1	3837
1439	SWIM	swim	2024	4b.3/	3154
144	MACHINE	machine	21277	9a/	5725
1440	SPIT	spit	207602	1a/8.4	639
1441	FLY (MOVE THROUGH AIR)	fly	1685	2a.1/14	1250
1442	STAND	stand	208979	1b/5.2	982
1443	WALK	walks	316954	4b.4/4	3247
1445	TURN (SOMETHING)	turn over	73025	4b.4/6	3262
1446	COME	came	262045	4b.4/1	3162
1447	GIVE	give	1704	4f.5/	3601
1448	HOLD	hold	1731	4e.2/	3476
1449	RUB	rub	9025	5e/	4620
145	SORROWFUL	sorrowful	159105	5d/1.5.2	4410
1450	ROOM	room	135	9c/2	5914
1451	SMILE	smile	1979	1b/8.9	1022
1452	PUSH	push	208673	4a/2.3.1	2937
1453	WASH	wash	142298	4a/2.5.2	2941
1454	WIPE	wipe	211784	4a/2.1	2893
1455	PULL	pull	208622	4a/2.3.1	2936
1456	THROW	throw	208418	4c.9/	3414
1457	SEW	sew	1959	9a/	5770
1458	SAY	say	1948	1a/8.8	675
1459	IF	if	2176	8/1.2.2	5470
146	SUGAR CANE	sugar cane	35175	2b.1/3.3.2	1828
1460	IN	within	2102	8/1.1	5464
1461	AT	at	21179	8/	5552
1462	POT	jar	20721	9a/	5707
1463	DRUNK	drunk	219689	1b/3.5.8	962
1464	LADDER	ladder	203216	9a/2	5615
1465	BOX	case	796	9f/	6268
1466	EXACT	exact	1218	5c/2.2	3786
1467	CIRCLE	circle	18234	6e/	4981
1468	LOOK FOR	seek	80091	4a/2.2	2920
1469	WEEK	week	115	6i/2	5199
1470	FOLD	fold	29	1a/4.4.1	299
1471	WINTER	winter	183683	6i/1	5178
1472	KEY	key	202349	9a/	5712
