CONCEPTICON_ID	CONCEPTICON_GLOSS	POLISH	GERMAN	POLISH_VALENCE_MEAN_MALE	POLISH_VALENCE_MEAN_FEMALE	POLISH_VALENCE_MEAN	POLISH_AROUSAL_MEAN_MALE	POLISH_AROUSAL_MEAN_FEMALE	POLISH_AROUSAL_MEAN	POLISH_IMAGEABILITY_MEAN_MALE	POLISH_IMAGEABILITY_MEAN_FEMALE	POLISH_IMAGEABILITY_MEAN	LINE_IN_SOURCE
1003	PERMIT	pozwalać	zulassen	0.86	0.54	0.7	2.36	2.38	2.37	5.36	5.15	5.26	1679
1004	MUSCLE	mięsień	muskel	0.57	0.33	0.46	2.0	1.42	1.73	5.57	5.58	5.58	1042
1008	BULL	byk	stier	0.46	0.15	0.31	1.85	1.92	1.88	6.69	6.69	6.69	193
1011	BRIDGE	most	brücke	0.64	1.15	0.89	1.93	2.23	2.07	6.79	6.77	6.78	1088
1024	CHARACTER	charakter	charakter	0.85	0.54	0.69	1.92	1.62	1.77	5.46	4.15	4.81	212
1030	NECESSARY	potrzebny	bedürfnis	1.0	1.06	1.04	2.67	2.0	2.22	5.22	5.39	5.33	1657
1038	TEACHER	nauczyciel	lehrer	0.56	0.56	0.56	2.89	1.78	2.15	6.0	6.11	6.07	1159
1046	SHUT	zamykać	schließen	-0.78	-0.39	-0.52	2.11	1.61	1.78	5.11	5.28	5.22	2736
1047	PURSUE	dążyć	trachten	1.21	1.42	1.31	2.86	3.33	3.08	4.79	5.17	4.96	313
1051	CAN	puszka	dose	0.27	0.06	0.15	1.55	1.44	1.48	6.18	6.75	6.52	1839
1063	NEPHEW	siostrzeniec	neffe	1.07	0.91	1.0	2.27	2.09	2.19	6.07	5.55	5.85	2009
1066	CRIME	przestępstwo	verbrechen	-1.19	-1.82	-1.44	2.88	2.73	2.81	5.44	5.27	5.37	1777
1068	COURT	sąd	gericht	-1.11	-1.28	-1.22	2.78	2.39	2.52	6.33	6.06	6.15	1973
1079	FEEL	czuć	fühlen	1.07	1.62	1.33	2.93	3.23	3.07	4.36	5.54	4.93	292
1085	FOLLOW	śledzić	verfolgen	-0.93	-1.08	-1.0	2.0	2.62	2.3	5.43	5.38	5.41	2233
1095	LET GO OR SET FREE	uwalniać	befreien	1.82	1.56	1.67	3.18	2.56	2.81	5.0	5.81	5.48	2444
1098	WEIGH	ważyć	waage	-0.08	-0.23	-0.15	1.46	1.69	1.58	5.92	5.62	5.77	2480
1119	DIVIDE	dzielić	teilen	0.8	0.65	0.7	2.5	2.24	2.33	4.6	5.59	5.22	404
1120	HONEST	szczery	ehrlich	2.2	2.64	2.38	2.73	3.09	2.88	5.6	5.73	5.65	2179
1121	SECRET	tajemnica	geheimnis	0.45	0.44	0.44	2.91	3.25	3.11	4.55	5.56	5.15	2273
1122	WAGES	pensja	gehalt	0.73	1.63	1.26	2.91	2.69	2.78	6.27	6.06	6.15	1484
1145	SWAMP	bagno	sumpf	-0.85	-0.92	-0.88	1.69	2.15	1.92	6.69	5.85	6.27	79
1156	OPEN	otwierać	öffnen	0.79	1.31	1.04	2.43	2.38	2.41	5.93	6.15	6.04	1415
1161	THREAD	nić	faden	0.27	0.45	0.35	1.6	1.45	1.54	6.53	6.36	6.46	1172
1169	OX	wół	ochse	0.36	0.31	0.33	2.0	1.69	1.85	6.21	5.85	6.04	2574
119	DIVE	nurkować	tauchen	1.31	0.92	1.12	2.23	2.15	2.19	6.08	5.69	5.88	1242
1208	CAT	kot	katze	1.2	1.47	1.37	2.0	2.47	2.3	6.6	7.0	6.85	789
1216	MOTHER	matka	mutter	1.57	2.46	2.0	3.07	3.54	3.3	6.86	6.92	6.89	1010
1217	FATHER	ojciec	vater	1.79	0.75	1.31	2.86	2.92	2.88	6.5	6.17	6.35	1338
1218	ROPE	lina	seil	0.14	0.0	0.08	1.5	1.33	1.42	6.21	6.33	6.27	892
1219	WORM	robak	wurm	-0.21	-1.33	-0.73	2.0	2.83	2.38	6.21	6.67	6.42	1889
1221	NOSE	nos	nase	0.38	-0.09	0.19	1.5	1.27	1.41	6.69	6.36	6.56	1232
1223	HEART	serce	herz	1.67	1.78	1.74	3.11	2.61	2.78	5.89	6.72	6.44	1991
1225	DAY (NOT NIGHT)	dzień	tag	0.86	1.67	1.23	1.79	2.58	2.15	5.29	6.33	5.77	407
1230	DIRTY	brudny	stau	-1.46	-1.54	-1.5	2.31	2.08	2.19	6.08	5.92	6.0	171
1233	NIGHT	noc	nacht	0.7	1.29	1.07	2.1	2.53	2.37	6.2	6.76	6.56	1231
1246	SMALL	mały	wenig	-0.07	0.62	0.26	1.43	1.92	1.67	5.93	5.77	5.85	980
1248	EYE	oko	auge	0.79	0.62	0.7	1.64	1.77	1.7	6.64	6.77	6.7	1345
1252	HOUSE	dom	zuhause	2.0	1.91	1.96	3.06	2.27	2.74	6.75	6.73	6.74	344
1261	SING	śpiewać	singen	2.09	1.81	1.93	3.27	2.94	3.07	5.91	6.44	6.22	2250
1262	BROTHER	brat	bruder	1.64	2.0	1.81	2.71	3.0	2.85	5.57	6.77	6.15	165
1263	SISTER	siostra	schwester	2.0	2.38	2.22	3.09	3.19	3.15	6.18	6.69	6.48	2007
1272	AUNT	ciotka	tante	0.57	0.17	0.38	2.14	2.0	2.08	6.43	5.5	6.0	255
1277	HAND	ręka	hand	0.43	0.77	0.59	1.43	2.15	1.78	6.79	6.54	6.67	1888
1278	VOMIT	wymiotować	seekrank	-2.3	-2.29	-2.3	3.3	3.06	3.15	6.4	6.47	6.44	2633
1280	FALL	spadać	fallen	-0.79	-1.23	-1.0	3.14	3.62	3.37	5.86	6.0	5.93	2069
1281	PRISON	więzienie	gefängnis	-1.33	-2.36	-1.77	2.27	2.82	2.5	5.47	5.36	5.42	2535
1284	BANK	bank	bank	-0.5	-0.17	-0.35	2.79	1.83	2.35	6.29	6.33	6.31	89
1289	BABY	niemowlę	baby	1.06	1.0	1.04	2.5	2.64	2.56	6.69	6.82	6.74	1186
129	CHOKE	dusić	atemnot	-1.79	-2.69	-2.22	3.36	3.62	3.48	5.93	6.31	6.11	382
1290	ELEPHANT	słoń	elefant	1.14	1.17	1.15	2.07	2.08	2.08	6.71	6.67	6.69	2048
1292	BAD	zły	übel	-1.14	-1.38	-1.26	3.21	3.46	3.33	5.86	5.69	5.78	2828
1298	NEWSPAPER	gazeta	zeitung	0.4	0.65	0.56	1.9	2.0	1.96	6.2	6.65	6.48	484
1302	FORK	widelec	gabel	0.22	0.33	0.3	2.33	1.22	1.59	6.67	6.72	6.7	2511
1303	FINGER	palec	finger	0.31	0.15	0.23	1.31	1.46	1.38	6.62	6.23	6.42	1430
1307	LANGUAGE	język	sprache	0.29	1.0	0.63	1.93	2.08	2.0	6.21	5.77	6.0	639
1309	ASK (INQUIRE)	pytać	fragen	0.2	0.47	0.37	2.2	2.12	2.15	5.1	5.94	5.63	1842
131	FESTIVAL	impreza	party	2.14	1.92	2.04	3.79	3.83	3.81	6.79	6.75	6.77	592
1310	CLEVER	pojętny	begreifen	1.29	1.23	1.26	2.36	2.23	2.3	5.07	4.23	4.67	1596
1312	FOX	lis	fuchs	0.31	-0.46	-0.08	1.69	1.62	1.65	6.54	6.31	6.42	897
1313	MOON	księżyc	mond	1.67	2.0	1.81	2.2	2.27	2.23	6.47	6.73	6.58	832
1314	QUIET	cichy	still	0.36	-0.08	0.15	1.64	1.58	1.62	6.07	4.75	5.46	244
1321	BOTTLE	butelka	flasche	0.64	-0.08	0.31	2.21	1.92	2.08	6.43	5.92	6.19	191
1323	CLOCK	zegar	uhr	0.0	-0.09	-0.04	1.81	1.73	1.78	6.69	6.82	6.74	2804
1325	FRIEND	przyjaciel	freund	2.43	2.85	2.63	3.43	3.62	3.52	6.64	6.08	6.37	1798
1327	UNCLE	wujek	onkel	2.0	1.44	1.67	3.27	2.31	2.7	6.45	6.75	6.63	2600
1330	DEFEND	bronić	wehren	1.0	1.46	1.22	3.36	3.15	3.26	5.5	4.77	5.15	168
1331	SHEEP	owca	schaf	0.6	0.71	0.67	1.7	1.65	1.67	6.3	6.76	6.59	1417
1336	EAT	jeść	essen	1.9	2.0	1.96	2.7	2.71	2.7	6.3	6.53	6.44	634
1338	PEACE	pokój	zimmer	1.64	1.42	1.54	2.14	2.58	2.35	5.64	5.67	5.65	1601
1342	SUMMER	lato	sommer	2.36	2.75	2.54	3.57	3.58	3.58	6.5	6.58	6.54	867
1343	SUN	słońce	sonne	1.57	2.75	2.12	2.86	3.0	2.92	6.43	6.83	6.62	2049
1346	THROAT	gardło	kehle	-0.27	-0.06	-0.15	1.64	1.5	1.56	6.09	6.69	6.44	480
1349	CHURCH	kościół	kirche	0.08	0.69	0.38	2.08	2.69	2.38	6.77	6.69	6.73	787
1350	MONKEY	małpa	affe	0.79	0.69	0.74	2.21	2.08	2.15	6.5	6.54	6.52	979
1352	KNIFE	nóż	messer	-0.93	-1.45	-1.15	2.2	2.64	2.38	6.73	6.55	6.65	1240
1356	NUMBER	liczba	anzahl	0.86	0.46	0.67	1.93	1.85	1.89	6.14	5.92	6.04	887
1357	DAUGHTER	córka	tochter	1.5	1.71	1.63	2.7	2.41	2.52	6.2	6.41	6.33	261
1360	DUCK	kaczka	ente	0.57	0.33	0.46	1.57	1.5	1.54	6.79	6.58	6.69	643
1362	STREET	ulica	straße	0.64	0.06	0.3	1.64	1.56	1.59	5.73	6.56	6.22	2400
1364	HEALTHY	zdrowy	gesund	2.18	2.4	2.28	2.64	2.92	2.77	6.14	5.88	6.02	2796
1366	BOY	chłopiec	junge	0.47	0.82	0.62	1.53	1.64	1.58	6.07	6.18	6.12	221
1367	CROSS	krzyż	kreuz	-0.13	-0.55	-0.31	3.07	3.27	3.15	6.27	6.0	6.15	828
1368	BREAD	chleb	brot	1.31	1.62	1.46	1.54	1.92	1.73	7.0	6.62	6.81	219
1369	GOLD	złoto	gold	1.69	1.46	1.58	2.85	2.15	2.5	6.46	6.62	6.54	2825
1370	MONTH	miesiąc	monat	0.06	0.36	0.19	1.63	1.36	1.52	5.13	4.91	5.04	1038
1372	MEDICINE	narkotyk	droge	-0.89	-1.39	-1.22	3.33	3.0	3.11	5.67	5.17	5.33	1148
1375	WINDOW	okno	fenster	0.89	0.5	0.63	2.0	1.17	1.44	6.22	6.72	6.56	1344
1378	SPOON	łyżka	löffel	0.19	0.27	0.22	1.31	1.18	1.26	6.88	6.45	6.7	953
1379	TELEPHONE	telefon	telefon	0.56	0.45	0.52	2.19	2.0	2.11	6.69	6.55	6.63	2291
1380	TOOTH	ząb	zahn	-0.23	-0.54	-0.38	1.62	1.69	1.65	6.46	6.46	6.46	2781
1381	SHOE	but	schuh	0.11	0.61	0.44	1.56	1.39	1.44	6.44	6.72	6.63	190
1382	NEEDLE (FOR SEWING)	igła	nadel	-0.77	-0.15	-0.46	1.54	2.0	1.77	6.54	6.77	6.65	587
1386	LION	lew	löwe	1.36	1.67	1.5	3.0	3.0	3.0	6.43	6.67	6.54	880
1394	BONE	kość	knochen	-0.14	0.15	0.0	1.5	1.69	1.59	6.5	6.46	6.48	788
1396	SHARP	ostry	scharf	0.18	-0.81	-0.41	3.0	2.19	2.52	5.27	5.88	5.63	1400
1401	DRINK	pić	trinken	1.3	0.76	0.96	2.6	2.18	2.33	6.5	6.71	6.63	1499
1404	STRAIGHT	prosty	simpel	0.56	1.0	0.85	2.0	1.61	1.74	5.67	5.83	5.78	1724
1407	BREATHE	oddychać	atmung	1.29	1.15	1.22	2.21	2.0	2.11	6.29	6.46	6.37	1293
1412	RUDE	niegrzeczny	unart	-0.56	-1.18	-0.96	2.56	2.53	2.54	5.44	5.94	5.77	1182
1416	SIT	siedzieć	sitzen	-0.08	0.38	0.15	1.62	1.08	1.35	6.31	6.15	6.23	1998
1417	KILL	zabić	töten	-1.85	-2.77	-2.31	2.77	3.23	3.0	5.77	4.77	5.27	2683
1426	EXPENSIVE	drogi	teuer	-0.21	-0.31	-0.26	2.43	3.0	2.7	5.93	5.15	5.56	372
1430	STAR	gwiazda	stern	1.3	1.59	1.48	2.4	2.12	2.22	6.2	6.53	6.41	547
1441	FLY (MOVE THROUGH AIR)	latać	fliegen	1.77	1.77	1.77	2.92	3.0	2.96	6.31	5.54	5.92	865
1455	PULL	ciągnąć	ziehen	0.91	-0.06	0.33	2.64	1.56	2.0	5.0	5.69	5.41	243
1458	SAY	powiedzieć	sagen	0.55	0.5	0.52	2.09	2.13	2.11	5.18	5.88	5.59	1664
1463	DRUNK	pijany	trunken	-1.36	-2.17	-1.73	3.57	4.0	3.77	6.29	6.58	6.42	1515
1468	LOOK FOR	szukać	suchen	0.5	0.25	0.38	2.29	3.17	2.69	5.64	5.25	5.46	2224
1469	WEEK	tydzień	woche	0.0	0.0	0.0	1.93	2.0	1.96	5.64	5.75	5.69	2367
1471	WINTER	zima	winter	-0.27	0.91	0.23	2.47	2.82	2.62	6.53	6.36	6.46	2817
1474	SEA	morze	meer	2.18	2.56	2.41	3.27	3.25	3.26	6.36	6.94	6.7	1087
1475	COMB	grzebień	kamm	0.14	0.38	0.26	1.29	1.69	1.48	6.79	6.54	6.67	541
1476	CHAIR	krzesło	stuhl	0.21	0.17	0.19	1.64	1.33	1.5	6.21	6.58	6.38	822
1480	BODY	ciało	leib	1.29	1.46	1.37	2.71	2.69	2.7	6.5	6.62	6.56	239
1481	HAMMER	młotek	hammer	0.57	0.23	0.41	2.07	1.85	1.96	6.57	6.62	6.59	1071
1489	CLOUD	chmura	wolke	0.64	0.56	0.59	2.27	2.06	2.15	6.55	6.56	6.56	223
1490	RAT	szczur	ratte	-0.38	-0.18	-0.3	2.5	2.73	2.59	6.75	6.64	6.7	2185
1491	MOUSE	mysz	maus	0.71	-0.31	0.22	1.93	2.54	2.22	6.71	6.38	6.56	1115
1495	HAPPY	szczęśliwy	freudig	2.64	2.91	2.76	3.86	4.27	4.04	6.21	6.09	6.16	2182
150	WORRY	martwić	sorge	-1.6	-2.18	-1.85	2.8	3.36	3.04	5.6	4.91	5.31	996
1502	GOAT	koza	ziege	0.93	0.85	0.89	1.86	1.69	1.78	6.71	6.31	6.52	792
1504	FLY (INSECT)	mucha	fliege	-0.47	-0.27	-0.38	2.4	1.36	1.96	6.53	6.18	6.38	1101
1514	HEN	kura	huhn	1.07	0.85	0.96	1.79	1.77	1.78	6.79	6.69	6.74	846
1518	STUPID	głupi	albern	-1.36	-0.92	-1.15	2.71	2.5	2.62	5.93	4.5	5.27	504
1523	FORGET	zapominać	vergessen	-1.2	-1.29	-1.26	2.3	2.47	2.41	4.8	5.82	5.44	2746
1524	WINE	wino	wein	1.36	1.62	1.48	2.5	3.15	2.81	6.86	6.85	6.85	2543
1526	MEAL	posiłek	mahl	1.9	1.76	1.81	2.8	2.59	2.67	6.2	6.59	6.44	1647
1533	BE HUNGRY	głodny	hunger	-1.63	-1.73	-1.67	3.19	2.91	3.07	6.13	5.45	5.85	501
1534	FEVER	gorączka	fieber	-1.29	-1.77	-1.52	2.57	3.31	2.93	6.29	5.85	6.07	515
1535	SWORD	miecz	schwert	1.43	-0.23	0.63	2.86	2.54	2.7	6.57	6.69	6.63	1035
1536	UNDERSTAND	rozumieć	verstehen	1.4	1.71	1.59	2.2	2.29	2.26	5.3	5.59	5.48	1924
1539	BASKET	kosz	korb	0.29	-0.31	0.0	1.93	1.62	1.78	6.29	6.54	6.41	783
1543	SNAIL	ślimak	schnecke	0.46	0.08	0.27	1.38	1.85	1.62	6.46	6.77	6.62	2237
1547	SOUP	zupa	suppe	1.07	1.27	1.15	1.93	1.64	1.81	6.6	6.82	6.69	2861
1553	MALE	samiec	leittier	0.36	0.0	0.19	2.43	2.69	2.56	6.21	5.85	6.04	1961
1554	MAN	mężczyzna	mann	0.21	1.92	1.0	1.36	3.75	2.46	6.57	6.5	6.54	1032
1559	MONEY	pieniądze	geld	1.14	1.0	1.07	2.5	2.92	2.7	6.57	6.38	6.48	1506
1560	FACE	twarz	gesicht	0.93	1.46	1.19	2.14	2.31	2.22	6.5	6.62	6.56	2361
1561	ARMY	armia	armee	-0.15	-1.08	-0.62	2.15	2.77	2.46	5.54	6.54	6.04	54
1566	GUN	pistolet	pistole	-0.14	-1.17	-0.62	2.64	2.83	2.73	6.5	6.58	6.54	1529
1568	ARRANGE	ustalać	ermitteln	0.13	0.18	0.15	2.19	1.45	1.89	4.38	3.73	4.11	2433
1571	SELL	sprzedawać	verkaufen	-0.2	0.53	0.26	2.4	2.0	2.15	5.5	5.94	5.78	2101
1583	BRAIN	mózg	gehirn	1.38	0.82	1.15	2.06	2.27	2.15	6.38	5.82	6.15	1100
1584	BLISTER	pęcherz	blase	-0.5	-0.85	-0.67	1.79	2.08	1.93	5.29	6.15	5.7	1492
1585	SLEEP	spać	schlafen	1.79	2.33	2.04	2.64	2.08	2.38	6.14	6.83	6.46	2068
1590	WAIT (FOR)	czekać	warterei	-1.11	-0.94	-1.0	3.0	2.28	2.52	6.33	5.67	5.89	283
1595	SOUTH	południe	mittag	0.36	0.92	0.63	1.71	1.92	1.81	5.86	5.92	5.89	1616
1596	LOCK	zamek	schloss	1.2	1.09	1.15	2.33	1.55	2.0	6.53	6.45	6.5	2731
1597	AIRPLANE	samolot	flugzeug	1.79	1.5	1.65	3.07	3.83	3.42	6.79	6.75	6.77	1963
1599	WORD	słowo	wort	0.5	0.62	0.56	1.43	2.31	1.85	5.0	5.69	5.33	2050
1600	SKIRT	spódnica	rock	0.64	1.75	1.15	2.07	1.92	2.0	6.36	6.75	6.54	2094
1601	WEAK	słaby	schwach	-1.79	-1.5	-1.65	2.29	3.08	2.65	5.07	5.25	5.15	2043
1607	HATE	nienawidzić	hassen	-1.86	-2.46	-2.15	2.93	3.62	3.26	5.43	5.46	5.44	1189
1609	IDEA	pomysł	einfall	1.86	1.92	1.89	3.21	3.0	3.11	5.36	4.77	5.07	1628
1612	LETTER	list	brief	1.44	1.11	1.22	3.11	2.17	2.48	6.56	6.5	6.52	898
