CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_SOUND_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_MANIPULATION_MEAN	ENGLISH_MOTION_MEAN	ENGLISH_EMOTION_MEAN	LINE_IN_SOURCE
2524	JOY	joy	2.35	1.32	1.97	1.24	5.19	681
2526	POWER	power	2.10	1.03	2.86	1.46	1.90	976
2532	TORNADO	tornado	4.85	2.49	0.79	5.42	-3.02	1278
2540	LIME (MATERIAL)	lime	0.38	4.80	2.36	0.18	0.75	742
2547	CITY	city	4.90	2.27	1.15	3.82	1.09	271
2548	BARREL	barrel	0.64	2.36	1.93	0.58	-0.42	92
2549	VEHICLE	vehicle	4.09	2.58	4.25	4.20	1.48	1325
2554	PRINCE (RULER)	prince	2.10	1.91	1.43	2.36	2.92	982
2562	SEX (GENDER)	sex	4.00	1.25	4.24	4.80	3.93	1101
2569	BUTCHER	butcher	2.75	1.91	1.31	3.46	-2.09	188
2570	BEEF	beef	0.69	2.92	3.07	0.58	0.17	107
2578	PENCIL	pencil	1.50	3.20	4.57	1.80	0.50	923
2584	BENCH	bench	0.67	1.45	1.83	0.15	-0.15	115
2587	DARTS	dart	1.74	2.41	3.76	3.21	0.34	349
2590	HARMONICA	harmonica	4.83	1.85	4.21	1.42	1.40	584
2591	RHINOCEROS	rhino	2.68	3.52	1.10	2.54	0.03	1045
2597	HARP	harp	4.73	2.44	3.91	1.20	1.85	585
2603	ACCORDION	accordion	4.66	2.44	4.97	1.96	0.28	3
2605	ASPARAGUS	asparagus	0.30	4.63	2.37	0.38	-0.10	54
2618	CAMERA	camera	2.04	2.55	4.00	1.23	2.19	206
2619	CARD	card	1.17	2.00	2.69	1.00	1.17	219
2620	CARRIAGE	carriage	2.50	2.21	2.70	3.07	1.15	224
2622	ENGINE	engine	4.81	1.93	3.14	3.15	0.77	427
2623	FLAG	flag	2.40	4.55	2.92	2.45	2.67	479
2625	MAP	map	0.72	2.95	2.15	0.61	0.86	775
2627	ORANGE (FRUIT)	orange	0.12	5.87	2.29	0.16	2.11	878
2629	TRAY	tray	1.33	1.08	2.54	0.82	0.00	1290
2630	WHIP	whip	4.00	0.92	3.77	2.75	-2.64	1358
2631	WIRE	wire	0.62	1.00	3.31	0.58	-0.17	1372
2643	INK	ink	0.30	4.31	2.63	0.86	-0.04	646
2658	COAL	coal	0.18	4.90	2.69	0.18	-1.73	288
2680	MACHETE	machete	2.39	1.42	3.33	2.48	-2.10	762
2689	LADDER OR STAIRS	escalator	1.59	1.59	1.81	3.57	0.97	433
2715	DESPISE	despise	0.93	0.53	1.88	0.73	-4.10	365
273	DOUGH	dough	0.50	2.38	3.90	0.80	1.42	389
2765	CHERRY	cherry	0.27	5.50	1.88	0.30	1.91	250
2770	JACKET	jacket	1.10	2.46	3.75	0.83	0.58	662
2771	SHAWL	shawl	0.17	1.67	2.83	0.46	-0.23	1104
2809	BLUEBERRY	blueberry	0.23	5.64	1.70	0.38	1.50	135
281	POST	pole	0.25	1.27	1.67	0.08	0.33	962
2816	ECHO	echo	4.10	0.09	1.75	1.46	0.83	412
2817	EMU	emu	1.48	1.90	1.03	2.61	0.14	425
2819	GRASSLAND	meadow	1.09	4.23	0.79	0.75	3.25	787
2828	MOTH	moth	0.45	2.23	1.54	2.86	-0.82	823
2831	PENGUIN	penguin	2.27	4.67	0.93	2.69	1.53	925
2833	RUM	rum	0.85	3.16	2.61	0.58	0.36	1066
284	HOE	hoe	0.93	1.94	3.26	1.36	-0.47	607
2863	DASH (OF VEHICLE)	dash	1.16	0.43	2.41	3.64	0.59	350
287	CONE	cone	0.80	1.55	2.92	0.27	0.54	304
2897	CHIME (ACTION)	chime	4.30	1.03	2.28	1.70	1.45	256
292	RUG	rug	0.33	2.50	1.60	0.40	0.16	1065
2930	BOSS	boss	3.80	0.50	2.33	2.91	-2.00	150
2931	BUSINESS	business	1.18	0.76	2.90	1.68	1.28	187
2939	FLOCK (OF ANIMALS)	flock	2.90	0.94	1.43	2.19	0.42	486
2940	GATE	gate	1.61	1.67	3.24	1.65	-0.10	525
2946	CRADLE	cradle	1.91	1.18	2.57	1.93	1.00	321
2947	DAMAGE (INJURY)	injury	1.92	0.55	3.07	1.77	-3.73	645
2953	SLEEVE	sleeve	0.30	0.45	2.69	0.38	0.00	1139
2956	TUBE	tube	1.00	0.67	1.93	0.33	-0.33	1304
2958	LAUGHTER	laughter	4.95	1.10	2.37	2.67	4.95	717
2961	MESSAGE	message	2.04	0.27	2.11	0.63	1.54	796
2968	REASON	tune	4.04	0.34	2.47	1.04	1.48	1306
2969	RIBBON	ribbon	0.33	3.23	3.08	0.69	1.58	1046
2971	SIN	sin	0.81	1.18	2.43	0.96	-4.55	1125
2982	GIFT	gift	1.42	2.10	2.50	1.17	3.69	533
2990	SACK	sack	0.62	1.70	2.19	0.27	-0.42	1068
2992	TIP (OF OBJECT)	tip	0.70	0.34	2.48	0.82	1.87	1264
3	BRAVE	brave	1.16	0.61	1.75	0.75	2.97	162
300	RATTLE	rattle	4.70	2.00	3.58	3.15	-0.15	1026
3025	BARN OR SHED	shed	0.82	1.92	1.17	0.55	0.00	1105
3028	GRAVEL	gravel	2.64	2.70	2.14	0.64	-0.50	555
3055	SWINDLE	cheat	0.41	0.18	1.83	1.04	-4.38	245
3060	PHEASANT	pheasant	1.31	3.25	0.90	2.79	0.45	932
3062	TURNIP	turnip	0.09	3.65	2.45	0.04	-0.17	1308
3065	SADDLE	saddle	1.00	1.91	2.69	0.25	1.46	1069
307	HAWK	hawk	3.26	3.41	1.14	4.10	0.44	589
3076	SLOPE	slope	0.25	0.85	1.31	0.21	0.08	1142
308	TOUCAN	toucan	3.13	4.97	1.06	2.57	1.43	1280
3083	BALLOON	balloon	1.92	4.09	3.24	2.27	2.10	78
3085	CARROT	carrot	1.07	5.27	2.07	0.16	0.84	225
3086	COMPUTER	computer	2.36	2.34	4.33	1.48	1.89	303
3088	ENVELOPE	envelope	0.55	2.95	3.26	0.49	0.39	428
3091	LEMON	lemon	0.58	4.91	2.67	0.08	0.58	729
3096	RACKET	racket	3.91	1.68	4.00	1.96	-0.17	1014
3099	SOFA	sofa	1.08	2.90	1.92	0.20	2.75	1158
31	PAN	pan	1.76	1.91	2.34	0.38	-0.10	897
3102	TANK	tank	4.40	1.08	2.92	1.36	-1.08	1235
3105	UMBRELLA	umbrella	1.12	2.93	3.11	1.08	0.61	1312
3110	CLAP	clap	4.52	0.18	3.52	2.71	2.07	273
3128	SHOWER (ACTION)	shower	3.36	0.54	2.58	2.23	2.82	1119
3129	SKATE	skate	1.58	0.70	3.33	3.15	1.64	1130
3132	SURF	surf	3.40	3.55	1.62	3.62	2.55	1223
3135	VACUUM (SOMETHING)	vacuum	4.84	1.22	3.55	2.48	0.46	1319
3140	VEST	vest	0.08	2.00	2.64	0.10	0.00	1329
3144	GORILLA	gorilla	3.88	4.09	1.11	3.07	0.52	548
3146	CHEETAH	cheetah	2.28	4.76	1.08	5.30	1.41	249
3147	HAMSTER	hamster	1.48	2.83	1.77	3.33	1.00	579
3169	TREATY	treaty	0.44	0.29	2.39	0.56	2.45	1291
3179	CORAL ROCK	coral	0.30	4.64	1.38	0.50	1.91	308
3181	MUSTARD	mustard	0.63	5.05	2.00	0.34	0.07	841
3193	CROSSBOW	crossbow	1.73	1.80	4.06	2.83	-1.00	330
3202	CANNON	cannon	5.19	2.21	3.63	3.24	-1.89	214
3204	INSULT	insult	2.50	0.27	2.21	0.69	-3.78	651
3258	FALCON	falcon	2.94	3.16	1.81	3.92	0.70	444
3276	SUNSHINE	sunshine	0.24	5.05	0.60	1.51	4.32	1221
3283	CAGE	cage	2.38	0.83	2.82	0.09	-3.08	200
3287	BLOOM	blossom	0.73	4.40	1.67	0.92	2.33	133
3288	WEED	weed	0.64	3.50	2.00	0.00	-2.69	1353
329	STOCKING	stocking	0.50	2.00	3.00	0.42	0.83	1197
3317	ELM	elm	0.37	2.73	1.36	0.55	0.85	422
3325	PEARL	pearl	0.54	3.90	2.62	0.09	2.85	918
3327	AUTUMN OR HARVEST SEASON	harvest	0.92	2.92	2.83	0.75	1.77	586
3333	BELIEF (RELIGIOUS)	belief	0.50	0.47	2.33	0.50	2.41	111
3334	RITE	rite	0.40	0.16	1.06	0.76	0.52	1052
3336	FUNERAL	funeral	1.76	3.56	1.23	1.28	-5.47	514
3356	INCENSE	incense	0.38	0.58	2.36	1.25	0.83	637
337	PITCHFORK	pitchfork	1.13	1.94	3.72	1.33	-0.94	951
338	RAKE	rake	1.93	2.09	4.02	2.11	-0.26	1020
3380	HUNTING DOG	hound	4.00	2.27	2.69	4.09	1.83	621
3382	PEACOCK	peacock	1.94	5.32	1.48	2.45	1.06	916
3386	SULPHUR	sulphur	0.62	1.67	2.62	0.42	-2.15	1214
3389	MEASLES	measles	0.60	2.83	1.58	0.08	-3.92	789
342	HAY	hay	0.41	3.51	2.38	0.70	0.29	590
3423	DRILL	drill	4.58	0.67	3.46	1.85	-1.50	394
3425	JOKE	joke	3.18	0.69	2.58	1.17	3.50	678
343	VINE	vine	0.38	3.62	2.92	1.00	0.08	1334
3446	PINK	rose	0.20	5.55	1.70	0.56	3.52	1064
3460	BEACH	beach	2.83	4.16	1.25	1.59	4.58	100
354	POUND	pound	2.92	0.10	1.31	0.67	-1.50	975
356	SHEARS	scissors	2.27	2.17	4.40	2.17	0.19	1085
361	PEG	peg	0.53	1.11	1.34	0.18	-0.18	920
362	STRING	string	1.00	0.60	3.62	0.33	0.42	1206
3640	GOSSIP	gossip	3.21	0.30	3.55	1.64	-2.87	549
3657	GRANARY	barn	3.00	3.50	1.36	0.36	0.92	91
3675	ZEBRA	zebra	2.00	4.97	1.50	3.08	0.94	1397
3679	GROWL	growl	4.41	0.31	1.90	1.50	-2.25	565
3681	PARTRIDGE	partridge	1.50	3.16	1.42	1.93	0.45	908
3683	CACKLE	cackle	4.35	0.33	1.47	1.33	-1.27	197
3689	BUBBLE	bubble	1.36	1.80	2.38	1.57	2.42	176
3719	MARMOT	groundhog	1.03	2.74	1.10	2.41	0.55	564
3721	FINCH	finch	2.45	3.75	1.19	2.42	0.76	470
3722	FLAMINGO	flamingo	1.22	5.55	1.23	2.48	2.40	482
3726	BROCCOLI	broccoli	0.03	4.77	1.63	0.14	0.20	172
3730	APRICOT	apricot	0.12	4.63	2.57	0.22	1.44	41
3733	FERRY	ferry	3.27	1.45	2.77	2.27	0.83	462
3734	CHIMPANZEE	chimp	3.79	3.64	1.74	3.39	1.80	257
3746	VASE	vase	0.31	1.73	2.67	0.08	1.08	1322
3780	PET	pet	3.14	2.00	2.86	3.55	3.07	931
3796	ALBATROSS	albatross	1.58	1.61	0.73	1.86	0.13	14
3803	RASPBERRY	raspberry	0.13	5.37	1.93	0.15	2.09	1024
3808	JUNGLE	jungle	3.58	4.94	1.25	2.11	2.00	685
3809	SCREAM (PRODUCE A CRY)	scream	5.67	0.41	2.38	1.59	-3.37	1089
3840	CRANBERRY	cranberry	0.07	5.11	2.00	0.25	1.03	322
3871	MURDERER	killer	2.10	1.45	1.81	2.84	-5.55	694
3873	CHOCOLATE	chocolate	0.57	4.84	3.18	0.39	3.61	262
3874	KNOWLEDGE	knowledge	0.87	0.65	2.50	0.73	3.83	705
3876	DENTIST	dentist	3.50	1.17	1.50	3.45	-2.00	363
3878	DIAMOND	diamond	0.10	3.91	2.54	0.18	3.38	367
3881	PISTOL	pistol	4.90	2.61	4.07	2.67	-3.55	950
3902	TRUST (SOMEBODY)	trust	0.31	0.19	2.93	0.63	4.16	1301
3948	SHOTGUN	shotgun	5.39	2.15	4.03	2.96	-3.13	1117
395	PILL	pill	0.40	2.08	3.92	0.11	-1.73	943
3953	CHARITY	charity	0.43	0.44	2.14	0.80	2.71	243
3961	TEAM	team	3.40	1.36	2.50	3.08	3.00	1242
40	ENVY	envy	0.59	1.94	1.19	0.64	-3.30	429
404	ALCOHOL (FERMENTED DRINK)	alcohol	1.20	1.45	4.46	1.00	-0.92	15
410	YAM	yam	0.03	3.59	2.00	0.18	0.12	1391
420	FOREST	forest	1.80	4.74	2.02	1.26	2.30	498
472	PELICAN	pelican	2.48	2.97	1.13	2.93	1.10	921
474	DRESS	dress	0.58	2.64	4.14	2.00	1.83	393
476	CUP	cup	1.00	1.33	3.50	0.36	1.17	339
478	LIP	lip	1.61	3.88	3.02	2.50	1.61	747
486	MINISTER	minister	2.90	1.51	1.41	1.84	0.93	801
487	SHY	shy	0.21	0.20	1.65	0.46	-1.17	1122
495	REVENGE	revenge	1.44	0.68	2.58	0.81	-3.28	1042
496	CUCUMBER	cucumber	0.13	4.81	1.97	0.32	0.73	336
497	SCAR	scar	1.36	1.00	1.62	0.17	-2.23	1082
5	GAZELLE	gazelle	1.93	2.87	1.16	3.75	0.90	527
503	FROG	frog	3.08	5.00	0.92	2.92	0.92	508
506	MAIZE	corn	1.00	4.91	3.07	0.00	2.00	311
522	WOLF	wolf	3.78	3.64	1.71	4.18	0.46	1379
539	NEST	nest	0.67	1.82	1.57	0.45	1.33	853
55	WHISPER	whisper	2.64	0.46	2.08	0.83	1.08	1360
571	STING	sting	1.25	0.75	1.64	1.25	-3.23	1195
578	KISS	kiss	2.77	2.69	4.28	3.14	4.64	697
579	BATTLE	battle	5.07	1.77	2.73	4.17	-3.57	98
58	LIQUID	liquid	1.46	1.82	1.75	2.45	0.45	748
580	FUR	fur	0.33	3.00	1.77	0.79	0.44	515
585	BOOT	boot	1.03	1.68	2.40	1.62	0.12	148
586	GARDEN	garden	0.83	4.61	3.37	0.82	2.65	522
587	ANT	ant	0.48	3.36	1.64	2.59	-0.47	34
593	POTATO	potato	0.73	3.08	3.21	0.18	1.27	974
597	PHYSICIAN	doctor	3.08	1.50	2.21	3.00	1.92	380
598	SHELL	shell	1.75	2.54	1.46	0.23	1.75	1108
603	COAT	coat	0.83	1.70	3.33	0.60	1.42	290
604	GLASS	glass	2.92	1.67	2.86	0.36	0.91	538
606	GRASS	grass	0.64	4.85	2.25	0.67	1.00	552
613	HIGH TIDE	flood	3.14	2.33	1.15	3.75	-2.83	487
614	HILL	hill	0.58	2.33	1.00	0.33	1.25	604
615	HORSE	horse	3.62	3.70	2.00	4.03	1.70	617
616	HOSPITAL	hospital	2.70	2.71	1.69	2.02	-2.55	619
617	ICE	ice	1.35	2.48	2.55	0.89	0.40	629
619	ANIMAL	animal	3.77	3.13	1.72	3.87	2.40	28
620	INSECT	insect	2.55	2.17	1.25	3.18	-2.33	649
621	IRON	iron	1.29	1.42	3.17	0.62	-0.83	658
622	ISLAND	island	1.27	4.31	1.00	0.15	3.58	660
624	LAKE	lake	1.90	4.20	1.67	1.46	4.08	708
625	LAMP	lamp	1.33	2.77	2.69	0.10	0.62	711
626	LAND	land	1.08	3.09	2.54	0.09	1.58	712
628	LEAF	leaf	1.25	4.31	1.08	1.08	0.91	722
629	LEATHER	leather	0.67	3.42	2.85	0.18	0.67	724
63	RUMOUR	rumour	1.50	0.23	2.55	1.73	-2.90	1067
630	LIGHT (RADIATION)	daylight	0.54	4.62	0.36	1.08	3.43	353
633	MARKET	market	2.86	1.64	2.07	1.85	1.42	777
634	MEAT	meat	0.55	3.67	2.67	0.33	0.85	790
635	MILK	milk	1.30	4.00	2.57	0.77	2.36	798
637	MOSS	moss	0.46	5.10	0.69	0.33	0.75	822
639	MOUNTAIN	mountain	1.34	3.57	0.60	0.34	2.27	826
64	PIN	pin	0.64	1.54	3.38	0.50	-1.33	945
640	MUD	mud	1.09	4.34	1.52	0.78	-0.24	831
641	MUSHROOM	mushroom	0.04	3.85	1.93	0.41	0.25	836
642	MUSIC	music	5.29	2.22	3.29	2.20	3.55	837
644	OAK	oak	0.40	3.45	1.00	0.32	1.26	867
645	OCEAN	ocean	3.95	5.29	1.20	3.32	3.51	872
646	ASH	ash	0.23	3.23	1.22	0.44	-1.54	53
647	PAINT (PIGMENTS)	paint	0.67	4.58	3.33	0.92	1.00	892
648	PAPER	paper	1.90	2.42	3.79	0.25	0.18	900
649	PASTURE	pasture	2.00	4.00	2.08	1.00	1.09	910
651	SEAL	seal	3.45	2.82	2.00	3.46	1.17	1093
653	PLANT (VEGETATION)	plant	0.36	4.50	2.85	0.83	1.31	954
656	POLICE	police	3.74	3.10	1.88	3.38	-1.62	963
658	RAIN (PRECIPITATION)	rain	3.55	2.25	0.92	3.42	1.25	1019
663	BAY	bay	2.09	3.05	0.62	0.97	2.05	99
665	BEE	bee	3.43	4.84	1.32	3.98	-2.42	106
666	RIVER	river	3.33	3.84	1.37	4.15	2.35	1053
667	ROAD	road	3.00	1.80	2.38	2.09	0.33	1055
668	ROCK	rock	1.54	2.70	1.50	0.08	0.00	1057
670	ROOT	root	0.17	2.00	1.62	0.33	0.17	1062
673	SCHOOL	school	4.27	1.25	1.92	1.58	1.45	1084
674	MOUTH	mouth	3.41	2.93	3.84	3.05	1.26	828
677	AXE	axe	2.78	1.73	3.91	1.88	-2.37	69
683	PERSON	person	3.39	1.98	2.86	3.66	1.65	929
686	EASY	simple	0.24	0.17	0.71	0.19	1.33	1124
698	WISE	wise	0.39	0.23	1.32	0.48	3.53	1374
704	CLEAN	cleanness	0.47	1.50	2.50	0.62	2.93	277
710	WHEEL	wheel	2.15	1.90	3.36	3.95	0.21	1356
716	GROAN	groan	4.16	0.16	2.13	0.79	-2.53	563
72	CLAW	claw	2.42	0.92	2.38	1.86	-2.45	275
720	GOOD LUCK	luck	0.52	1.19	0.89	0.71	2.91	757
729	DAWN	dawn	1.15	4.92	0.57	0.92	3.08	351
730	SNAKE	snake	2.20	3.39	1.17	3.35	-2.61	1148
731	BEVERAGE	beverage	1.33	2.44	3.43	0.60	2.49	119
735	OWL	owl	3.40	3.05	1.62	2.83	0.82	887
736	YARD	yard	1.83	2.75	1.92	0.18	0.91	1392
74	PUPPY	puppy	3.77	3.25	2.65	4.49	4.12	1002
740	SHIP	ship	3.00	2.42	2.62	2.92	1.25	1111
744	EGG	egg	1.00	4.00	2.72	0.39	0.67	415
745	SHELF	shelves	0.61	1.23	1.76	0.00	0.47	1109
746	SHOP	shop	2.55	1.00	1.77	1.64	2.17	1114
747	BICYCLE	bicycle	2.45	2.81	4.03	4.29	1.52	120
751	SHRUB	shrub	0.27	2.83	1.62	0.42	1.09	1121
753	PUPIL (STUDENT)	pupil	0.62	2.25	2.43	1.79	1.02	1001
757	BUTTON	button	1.31	2.55	3.00	0.27	0.31	191
763	SKIN	skin	0.31	3.09	3.15	1.17	1.27	1131
767	CORPSE	corpse	0.05	1.64	1.80	0.60	-4.95	312
768	LUNCH	lunch	2.08	1.44	3.46	0.85	1.92	759
769	ROOF	roof	1.38	0.83	1.50	0.17	-0.50	1060
771	HAT	hat	0.25	2.27	3.15	0.50	0.46	587
774	CABBAGE	cabbage	0.26	3.83	2.29	0.23	-0.74	195
775	TRUMPET	trumpet	5.25	3.58	4.00	1.83	0.66	1300
777	FLUTE	flute	4.83	2.54	4.43	1.40	1.36	489
778	SMOKE (EXHAUST)	smoke	0.77	2.33	2.46	2.54	-4.08	1146
784	SNOW	snow	0.64	4.50	1.23	1.80	2.75	1151
787	SAIL	sail	1.78	2.49	3.23	2.71	1.95	1071
788	SOAP	soap	0.62	1.67	3.38	0.33	2.69	1153
794	PEN	pen	0.91	3.30	4.45	1.59	-0.14	922
795	TROUT	trout	1.58	2.73	2.21	3.18	0.75	1297
798	JAW	jaw	0.80	1.20	2.88	2.51	-0.52	668
8	CURSE	curse	2.61	0.33	2.16	0.62	-3.48	342
803	ANKLE	ankle	0.64	0.91	2.75	1.62	-0.55	31
806	BLANKET	blanket	0.50	2.23	3.31	0.36	2.83	128
808	DRIP (FALL IN GLOBULES)	drip	3.10	0.88	1.32	1.75	-0.63	396
809	TROUSERS	pants	0.58	2.33	3.85	1.17	1.31	899
812	SLAVE	slave	1.41	2.71	3.51	2.92	-4.84	1136
818	WILLOW	willow	0.56	2.00	1.46	1.10	2.00	1366
819	STOMACH	stomach	1.92	1.58	3.00	1.00	-0.82	1199
820	LAMB	lamb	2.85	3.42	1.75	1.85	1.33	709
824	WITCH	witch	3.75	3.69	1.92	3.36	-2.75	1376
828	RACCOON	raccoon	1.52	3.85	1.30	2.93	-0.16	1012
842	LIQUOR	liquor	1.20	1.58	4.23	0.75	1.25	749
843	SPIDER	spider	0.27	3.50	2.17	2.45	-2.42	1172
846	TIGER	tiger	4.05	5.05	1.37	4.21	1.07	1261
849	SPRING (OF WATER)	fountain	3.19	2.60	2.28	2.90	2.25	503
852	PRIEST	priest	3.09	2.27	1.23	3.40	1.50	980
854	KETTLE	kettle	2.92	1.75	2.23	0.64	0.09	689
857	STONE	stone	1.23	2.36	2.67	0.27	-0.58	1200
858	STORM	storm	5.10	3.33	0.91	4.08	-0.36	1201
859	STOVE	stove	1.58	1.25	2.92	0.60	-0.08	1202
861	JUDGE	judge	3.25	1.42	1.85	2.64	-0.33	682
862	SUGAR	sugar	0.38	3.67	2.91	0.82	2.09	1213
864	PUMPKIN	pumpkin	0.34	5.52	2.30	0.37	2.21	996
866	WIN	win	2.40	0.59	2.58	1.19	3.97	1367
867	GLOVE	glove	0.70	1.70	2.23	0.64	0.62	539
868	BANANA	banana	0.20	5.26	2.89	0.26	1.90	80
869	BLADE	blade	1.36	1.36	3.25	1.15	-2.69	127
873	TAX	tax	0.38	0.48	1.45	0.69	-2.52	1239
874	CANDY	candy	1.69	3.45	2.92	0.64	2.92	211
876	ARCH	arch	0.18	0.50	0.54	0.60	0.25	44
879	COUGH	cough	4.23	0.06	2.30	1.41	-2.87	316
882	PARROT	parrot	4.10	4.97	1.72	3.00	1.19	906
883	TERMITE	termite	1.00	2.60	1.24	2.57	-2.50	1249
889	FLAME	flame	2.42	4.92	1.77	3.00	-1.64	481
890	MULE	mule	2.91	2.08	1.15	2.67	-0.09	833
894	TOAD	toad	2.91	4.73	2.33	3.00	-0.45	1265
895	TORTOISE	tortoise	0.90	4.31	1.28	1.41	1.31	1279
899	PRESIDENT	president	2.70	1.18	1.69	2.07	0.33	979
900	TRAIN	train	5.21	2.70	2.21	4.23	0.05	1287
904	BERRY	berry	0.67	4.75	3.23	0.10	2.42	117
906	TREE	tree	1.18	4.42	1.92	0.60	2.15	1292
908	DRUM	drum	5.28	2.22	4.40	1.58	1.05	400
909	GARBAGE	trash	1.73	2.42	2.27	0.58	-3.45	1289
913	CROW	crow	4.00	4.37	1.12	2.97	-1.58	331
916	LINEN	linen	0.77	3.73	1.91	0.45	0.55	745
917	ORNAMENT	ornament	0.36	3.36	2.44	0.21	2.55	882
920	GRAPE	grape	0.42	4.73	2.64	0.00	1.92	551
921	VALLEY	valley	1.45	2.00	0.46	0.43	2.00	1320
922	PEAR	pear	0.10	4.27	2.92	0.09	1.42	917
924	VEGETABLES	vegetable	0.42	4.30	3.04	0.30	0.76	1324
928	EMBRACE	embrace	0.89	0.78	2.98	2.03	4.29	423
930	VILLAGE	village	3.75	1.27	1.15	1.54	1.92	1332
933	WALL (OF HOUSE)	wall	0.42	1.33	1.31	0.00	-0.42	1341
935	WAR	war	5.26	1.85	3.32	4.42	-4.78	1345
936	STALLION	stallion	3.41	3.41	1.85	4.35	1.69	1185
937	BIRD	bird	3.65	3.77	1.70	3.92	1.24	124
942	HONEY	honey	0.17	4.26	2.00	0.58	2.54	611
944	SALMON	salmon	0.97	4.18	1.43	3.03	0.64	1074
945	SPEAR	spear	1.57	1.47	4.11	2.67	-2.16	1168
946	BLOOD	blood	0.62	5.10	1.83	2.00	-3.50	132
948	WATER	water	2.98	3.84	2.27	2.37	3.12	1347
950	SEAGULL	seagull	3.73	3.72	1.72	3.25	-0.13	1092
951	WEAPONS	weapon	3.55	1.77	4.18	2.15	-3.29	1351
953	RAPE	rape	3.37	0.95	3.21	3.44	-5.60	1022
957	WHALE	whale	2.77	3.85	0.97	2.86	1.48	1354
958	WILD ANIMAL	beast	3.92	2.55	1.62	2.54	-2.17	102
963	BOOK	book	1.27	1.92	4.00	0.36	0.91	146
964	WOOL	wool	0.33	2.83	2.09	0.00	-0.64	1383
969	CIGARETTE	cigarette	0.78	2.51	5.25	0.78	-4.49	269
974	TOBACCO	tobacco	0.40	2.83	4.00	0.53	-3.58	1268
975	SPINACH	spinach	0.33	4.55	2.83	0.10	-0.69	1173
977	ARROW	arrow	1.64	0.67	3.42	3.30	-0.92	48
980	HEEL	heel	0.75	1.50	3.38	1.62	-0.33	594
981	ELBOW	elbow	0.31	1.09	2.79	2.38	-0.58	418
985	VINEGAR	vinegar	0.40	1.33	1.85	0.75	-1.27	1335
986	TOMATO	tomato	0.21	5.54	2.00	0.18	0.63	1272
992	CLIFF	cliff	0.40	1.42	0.92	0.00	0.17	279
