CONCEPTICON_ID	CONCEPTICON_GLOSS	ITALIAN	ENGLISH	ITALIAN_AOA_MEAN	ITALIAN_POS	LINE_IN_SOURCE
1002	STATUE	statua	statue	5.72	n	1700
1007	COW	mucca	cow	4	n	1104
1008	BULL	toro	bull	5.08	n	1802
1011	BRIDGE	ponte	bridge	5	n	1355
1013	FRESHWATER EEL	anguilla	eel	7.68	n	78
1018	MEMORY	memoria	memory	5.84	n	1049
1020	HANDKERCHIEF	fazzoletto	handkerchief	3.96	n	638
1021	TOWEL	asciugamano	towel	3.92	n	117
1024	CHARACTER	carattere	character	6.68	n	310
1025	WHISTLE	fischio	whistle	4.52	n	676
1029	JEWEL	gioiello	jewel	5.56	n	772
1035	GOOD	buono	good	3.48	a	247
1038	TEACHER	insegnante	teacher	4.36	n	884
1040	HAIR	capello	hair	3.2	n	299
1044	PILLOW	cuscino	pillow	3.48	n	489
1046	SHUT	chiudere	to close	3.48	v	367
105	MATTRESS	materasso	mattress	5.44	n	1034
1054	SMALLPOX	vaiolo	smallpox	12	n	1870
1057	DAUGHTER-IN-LAW	nuora	daughter in law	9.76	n	1152
1064	SHIELD	scudo	shield	7.88	n	1585
1066	CRIME	crimine	crime	9.56	n	471
1070	BUS	autobus	bus	5.96	n	147
1075	TRAP (PITFALL)	trappola	trap	5.76	n	1818
1086	WORK (ACTIVITY)	lavoro	work	6.28	n	933
1088	SINK (DESCEND)	lavandino	sink	4.32	n	929
1091	SALTY	salato	salty	4.28	a	1519
1092	HOPE	speranza	hope	7.2	n	1671
1096	SONG	canzone	song	4.28	n	295
11	DARKNESS	tenebra	darkness	8.96	n	1769
1100	COOK (SOMETHING)	cucinare	to cook	5.72	v	481
1102	CLIMB	arrampicarsi	to climb	5.8	v	109
1104	NURSE	infermiere	nurse	6.68	n	870
1107	GO OUT	uscire	to go out	4.28	v	1862
1110	SHARK	squalo	shark	5.04	n	1690
1111	CAR	automobile	car	4.36	n	148
1114	BULLET	pallottola	bullet	7.64	n	1227
112	TURTLE	tartaruga	turtle	4.16	n	1751
1120	HONEST	onesto	honest	6.84	a	1179
1124	PIPE	pipa	pipe	7.24	n	1332
113	SHORE	riva	shore	5.84	n	1491
1132	BEAM	trave	beam	7.92	n	1821
1134	DIVORCE	divorzio	divorce	10.36	n	548
1135	KICK	calciare	to kick	5.2	v	261
1136	RABBIT	coniglio	rabbit	3.32	n	432
1138	FAIRY	fata	fairy	4.24	n	633
1141	PITY	pietà	pity	7.68	n	1322
1142	URINE	urina	urine	7.16	n	1858
1143	OVEN	forno	oven	4.92	n	698
1145	SWAMP	palude	swamp	7.8	n	1230
1146	AUBERGINE	melanzana	aubergine	5.04	n	1044
1156	OPEN	aprire	to open	3.92	v	93
1160	THIEF	ladro	thief	4.92	n	915
1171	MIRROR	specchio	mirror	4.64	n	1668
1175	GHOST	fantasma	ghost	5.76	n	624
1181	PALM TREE	palma	palm tree	5.72	n	1228
1182	NOISE	rumore	noise	4.64	n	1512
1185	VULTURE	avvoltoio	vulture	7.88	n	158
1187	GOOSE	oca	goose	5.8	n	1162
1189	ULCER	ulcera	ulcer	12.44	n	1847
1190	HARE	lepre	hare	5	n	945
1199	WIFE	moglie	wife	5.48	n	1082
1200	HUSBAND	marito	husband	5.76	n	1026
1201	FEATHER	piuma	feather	4.56	n	1339
1202	BIG	grande	great	4.64	a	802
1203	LONG	lungo	long	4.12	a	977
1205	TONGUE	lingua	tongue	4.25	n	958
1207	YOUNG	giovane	young	6.44	a	777
1208	CAT	gatto	cat	2.56	n	741
1210	HEAVY	pesante	heavy	6.08	a	1299
1216	MOTHER	madre	mother	2.68	n	985
1217	FATHER	padre	father	2.16	n	1217
1218	ROPE	fune	rope	5.84	n	720
1219	WORM	verme	worm	4.92	n	1899
122	CART	carro	wagon	7.16	n	323
1221	NOSE	naso	nose	3.24	n	1123
1222	PENIS	pene	penis	10.28	n	1281
1223	HEART	cuore	heart	3.8	n	486
1225	DAY (NOT NIGHT)	giorno	day	3.8	n	775
1226	YEAR	anno	year	3.84	n	82
1227	BOARD	bordo	board	6.4	n	224
1228	EARTH (SOIL)	terra	earth	4.52	n	1777
1229	OLD	vecchio	old	5.44	a	1883
1230	DIRTY	immondizia	dirty	5	n	844
1231	NEW	nuovo	new	3.72	a	1155
1233	NIGHT	notte	night	3.28	n	1149
1234	SMOOTH	liscio	smooth	4.32	a	959
124	THORN	spina	thorn	6	n	1677
1245	BUTTER	burro	butter	5.08	n	249
1246	SMALL	piccolo	small	4.12	a	1318
1247	EAR	orecchio	ear	3.96	n	1189
1248	EYE	occhio	eye	3.64	n	1164
1250	JAGUAR	giaguaro	jaguar	8.16	n	760
1251	BELLY	pancia	belly	4.92	n	1232
1256	HEAD	testa	head	3.32	n	1785
1259	WEDDING	matrimonio	wedding	5.96	n	1037
1261	SING	cantare	to sing	4.12	v	292
1262	BROTHER	fratello	brother	3.08	n	707
1263	SISTER	sorella	sister	2.8	n	1652
1266	BRIDE	sposa	bride	5.32	n	1684
1271	DELIGHT	delizia	delight	7.52	n	500
1272	AUNT	zia	aunt	3.04	n	1948
1273	CANDLE	candela	candle	3.96	n	285
1274	SALT	sale	salt	5.08	n	1520
1275	ANSWER	rispondere	to answer	3.88	v	1482
1276	AUTUMN	autunno	autumn	4.76	n	150
1277	HAND	mano	hand	3.08	n	1016
1278	VOMIT	vomito	vomit	6.08	n	1937
1280	FALL	cadere	to fall	2.88	v	256
1281	PRISON	prigione	prison	6.88	n	1383
1286	HOT	caldo	hot	3.88	a	262
1287	COLD	freddo	cold	3.68	a	709
1289	BABY	bebè	baby	4.24	n	190
1290	ELEPHANT	elefante	elephant	4.04	n	574
1291	BACK	schiena	back	4.4	n	1558
1293	MISTAKE	errore	mistake	5.76	n	592
1297	LEG	gamba	leg	3.48	n	734
1298	NEWSPAPER	giornale	newspaper	5.08	n	774
1299	COFFEE	caffè	coffee	7.2	n	258
13	DECEIT	inganno	deceit	7.84	n	875
1301	FOOT	piede	foot	3.16	n	1320
1302	FORK	forchetta	fork	3.64	n	692
1303	FINGER	dito	finger	3.44	n	545
1305	CHIMNEY	camino	chimney	4.56	n	271
1306	QUEEN	regina	queen	4.84	n	1451
131	FESTIVAL	festa	party	4.92	n	652
1312	FOX	volpe	fox	4.32	n	1936
1313	MOON	luna	moon	4.56	n	975
1314	QUIET	silenzioso	quiet	5.28	a	1622
1315	RADIO	radio	radio	5.72	n	1427
1318	CHICKEN	pollo	chicken	3.72	n	1346
1319	COWARD	codardo	coward	8.64	a	402
132	SAUCE	sugo	sauce	4.84	n	1728
1320	APPLE	mela	apple	3.84	n	1043
1321	BOTTLE	bottiglia	bottle	3.84	n	229
1323	CLOCK	orologio	clock	4.72	n	1198
1325	FRIEND	amico	friend	3.96	n	67
1327	UNCLE	zio	uncle	3.12	n	1950
1331	SHEEP	pecora	sheep	3.28	n	1275
1333	NECK	collo	neck	4.08	n	408
1335	WHITE	bianco	white	3.64	a	202
1336	EAT	mangiare	to eat	3.24	v	1013
1338	PEACE	pace	peace	5.04	n	1215
1339	MORNING	mattina	morning	4.08	n	1038
134	FAULT	colpa	fault	6.04	n	413
1342	SUMMER	estate	summer	4.28	n	597
1343	SUN	sole	sun	3.64	n	1640
1346	THROAT	gola	throat	4.04	n	792
1347	NAPE (OF NECK)	nuca	nape	8.68	n	1150
1348	BOAR (MALE PIG)	cinghiale	boar	5.48	n	382
1349	CHURCH	chiesa	church	5.04	n	364
1350	MONKEY	scimmia	monkey	4.64	n	1564
1352	KNIFE	coltello	knife	5.2	n	416
1355	LAUGH	ridere	to laugh	4	v	1467
1360	DUCK	anatra	duck	5.12	n	72
1361	TOOL	attrezzo	tool	6.52	n	143
1362	STREET	strada	street	4.92	n	1707
1363	VOICE	voce	voice	3.88	n	1933
1364	HEALTHY	salute	health	5.88	n	1525
1365	KITCHEN	cucina	kitchen	3.84	n	480
1366	BOY	ragazzo	boy	5.24	n	1432
1368	BREAD	pane	bread	2.88	n	1233
1369	GOLD	oro	gold	5.84	n	1197
1370	MONTH	mese	month	4.64	n	1059
1371	KNEE	ginocchio	knee	4	n	767
1372	MEDICINE	medicina	medicine	4.44	n	1042
1375	WINDOW	finestra	window	3.84	n	668
1378	SPOON	cucchiaio	spoon	3.76	n	478
1379	TELEPHONE	telefono	phone	5.52	n	1761
138	BATHE	lavare	to bath	3.76	v	930
1380	TOOTH	denti	teeth	3.48	n	504
1381	SHOE	scarpa	shoe	4.28	n	1549
1382	NEEDLE (FOR SEWING)	ago	needle	5.36	n	42
1383	GRANDFATHER	nonno	grandfather	2.88	n	1146
1385	PEPPER	pepe	pepper	6.2	n	1288
1386	LION	leone	lion	3.8	n	944
1388	SHADE	ombra	shadow	5.16	n	1176
1392	LOUSE	pidocchio	lice	6	n	1319
1398	DRY	asciutto	dry	5.08	a	119
1401	DRINK	bere	to drink	3.76	v	198
1402	BREAST	seno	breast	6.48	n	1600
1403	BITE	mordere	to bite	3.52	v	1096
1405	NAME	nome	name	3.64	n	1144
1408	HEAR	sentire	to hear	4.24	v	1603
1409	SEE	vedere	to see	4.6	v	1885
1411	LIE (REST)	bugia	lie	4.64	n	245
1412	RUDE	maleducato	rude	5.84	a	1003
1413	PLAY	giocare	to play	2.96	v	768
1416	SIT	sedersi	to sit	3.28	v	1595
1419	FEAR (BE AFRAID)	paura	fear	5.76	n	1268
1422	BE ALIVE	vivo	alive	4.68	a	1931
1423	FIGHT	lotta	fight	6.88	n	968
1424	YELLOW	giallo	yellow	3.24	a	761
1425	GREEN	verde	green	3.84	a	1895
1427	BEAUTIFUL	bello	beautiful	3.8	a	193
1429	FULL	pieno	full	4.56	a	1321
1430	STAR	stella	star	4.16	n	1701
1432	CUT	tagliare	to cut	4.64	v	1739
1433	HIT	colpire	to hit	5.28	v	415
1434	STAB	puntura	prick	4.48	n	1410
1439	SWIM	nuotare	to swim	5.28	v	1153
144	MACHINE	macchina	machine	5.76	n	983
1440	SPIT	sputare	to spit	5.44	v	1689
1441	FLY (MOVE THROUGH AIR)	mosca	fly	4.28	n	1099
1443	WALK	camminare	to walk	3.68	v	274
1446	COME	venire	to come	4.8	v	1893
1447	GIVE	dare	to give	4.6	v	494
1448	HOLD	tenere	to hold	4.4	v	1770
1450	ROOM	stanza	room	4.12	n	1698
1451	SMILE	sorriso	smile	3.48	n	1655
1452	PUSH	spingere	to push	4.88	v	1679
1455	PULL	tirare	to pull	4.44	v	1794
1456	THROW	buttare	to throw	4.2	v	252
1458	SAY	dire	to say	4.08	v	522
146	SUGAR CANE	bastone	cane	5.04	n	182
1462	POT	pentola	pot	4.72	n	1287
1465	BOX	scatola	box	4.2	n	1550
1467	CIRCLE	cerchio	circle	3.88	n	352
1471	WINTER	inverno	winter	4.8	n	898
1472	KEY	chiave	key	6.04	n	363
1473	FIST	pugno	fist	5.24	n	1402
1474	SEA	mare	sea	3.72	n	1023
1475	COMB	pettine	comb	4.72	n	1307
1476	CHAIR	sedia	chair	2.96	n	1596
1480	BODY	corpo	body	5.56	n	451
1481	HAMMER	martello	hammer	5.08	n	1030
1482	SHOULDER	spalla	shoulder	5.04	n	1660
1484	OIL (ORGANIC SUBSTANCE)	olio	oil	4.36	n	1174
1487	POUR	versare	to pour	5.76	v	1901
1488	FAUCET	rubinetto	tap	5.96	n	1509
1489	CLOUD	nuvola	cloud	3.68	n	1157
1490	RAT	ratto	rat	6.52	n	1446
1491	MOUSE	topo	mouse	3.4	n	1799
1495	HAPPY	felice	happy	4.32	a	641
1496	GRANDMOTHER	nonna	grandmother	3.08	n	1145
1502	GOAT	capra	goat	3.52	n	304
1508	KING	re	king	4.24	n	1448
1509	MOSQUITO	zanzara	mosquito	4.68	n	1945
151	RAZOR	rasoio	razor	8.76	n	1443
1510	CHIN	mento	chin	5	n	1053
1511	ROOSTER	gallo	cock	4.36	n	733
1512	RISE (ONESELF)	alzarsi	to get up	3.92	v	60
1514	HEN	gallina	hen	3.64	n	732
1517	WASP	vespa	wasp	6.04	n	1905
1518	STUPID	stupido	stupid	5.36	a	1722
1519	RUN	correre	to run	3.92	v	452
1522	SOCK	calzino	sock	4.12	n	268
1524	WINE	vino	wine	6.12	n	1921
1525	COAST	costa	coast	6.72	n	460
1529	LAST (FINAL)	ultimo	last	5.04	a	1849
1530	BOWL	scodella	bowl	6.6	n	1570
1533	BE HUNGRY	aver fame	to be hungry	3	v	151
1534	FEVER	febbre	fever	3.44	n	639
1535	SWORD	spada	sword	5.24	n	1658
1537	SPRINGTIME	primavera	spring	4.28	n	1384
1538	SCORPION	scorpione	scorpion	5.96	n	1580
1539	BASKET	cesto	basket	5.84	n	359
1543	SNAIL	lumaca	snail	4.6	n	973
1547	SOUP	minestra	soup	4.12	n	1069
1548	UGLY	brutto	ugly	3.28	a	241
1551	FEMALE	femmina	female	3.88	n	643
1554	MAN	uomo	man	4.12	n	1855
1559	MONEY	denaro	money	5.56	n	503
156	RED	rosso	red	3.12	a	1503
1560	FACE	faccia	face	3.68	n	604
1561	ARMY	esercito	army	7.56	n	594
1562	MIND	mente	mind	7.28	n	1052
1563	PYTHON	pitone	python	7.8	n	1337
1564	LAZY	pigro	lazy	7.96	a	1325
1565	HEAVEN	cielo	heaven	3.92	n	376
1567	DOOR	porta	door	4.64	n	1357
1569	CHEESE	formaggio	cheese	4.64	n	696
1572	SURPRISED	sorpreso	surprised	6.4	a	1654
1575	COCKROACH	blatta	cockroach	12.45	n	217
1583	BRAIN	cervello	brain	6.88	n	356
1584	BLISTER	vescica	blister	9.4	n	1903
1585	SLEEP	dormire	to sleep	3.08	v	559
1587	SMELL (STINK)	puzza	stink	4.16	n	1415
1588	TURN	girare	to turn	4.64	v	782
1590	WAIT (FOR)	aspettare	to wait	4.48	v	125
1594	FLOUR	farina	flour	5.48	n	628
1597	AIRPLANE	aereo	plane	5.44	n	26
1599	WORD	parola	word	4.44	n	1251
16	SLED	slitta	sled	5.48	n	1628
1600	SKIRT	gonna	skirt	4.76	n	798
1601	WEAK	debole	feeble	5.52	a	496
1602	WAKE UP	svegliarsi	to wake up	3.08	v	1734
1605	SKULL	cranio	skull	8.44	n	463
1607	HATE	odio	hate	6.8	n	1168
1609	IDEA	idea	idea	6.24	n	831
1610	PROSTITUTE	prostituta	whore	10.76	n	1394
1612	LETTER	lettera	letter	5.12	n	948
1614	SUMMIT	vetta	summit	8.16	n	1908
1616	CLOTH	panno	cloth	5.88	n	1238
1618	GRANDSON	nipote	grandson	4.08	n	1139
1620	SON	figlio	son	3.92	n	666
1622	SHIRT	camicia	shirt	5.04	n	270
1623	SPEAK	parlare	to speak	3.64	v	1250
1624	EMPTY	vuoto	empty	4.72	a	1939
1625	DEAD	morto	dead	5.68	a	1098
1628	SQUIRREL	scoiattolo	squirrel	5.04	n	1571
1629	EVENING	sera	evening	4.6	n	1605
163	BLACK	nero	black	4.24	a	1133
1631	FAST	veloce	quick	4.16	a	1891
1632	FLOOR	pavimento	floor	4.2	n	1269
1635	OBEY	obbedire	to obey	5.16	v	1159
1638	TRUTH	verità	truth	6	n	1898
164	KANGAROO	canguro	kangaroo	4.88	n	289
1641	SILK	seta	silk	8.16	n	1612
1643	COUSIN	cugino	cousin	3.44	n	482
1645	SHORT	corto	short	4.56	a	458
1646	GIRL	ragazza	girl	4.88	n	1430
1648	ANVIL	incudine	anvil	8.32	n	858
1650	WATCH	guardia	watch	5.88	n	821
1653	BLIND	cieco	blind	5.96	a	375
1654	LIGHTNING	fulmine	lightning	5.88	n	718
1655	BLINK	occhiolino	wink	6.6	n	1165
1659	DOLL	bambola	doll	3	n	170
1663	BED	letto	bed	3.36	n	949
1664	RAFT	zattera	raft	6.36	n	1946
1668	GRIEF	afflizione	grief	10.826086956521738	n	31
167	MAIL	posta	mail	6.28	n	1364
1671	TOWER	torre	tower	5.28	n	1803
1672	WRITE	scrivere	to write	4.76	v	1583
1673	ARM	braccio	arm	3.84	n	232
1674	POOR	povero	poor	5.48	a	1368
1680	HELMET	elmo	helmet	9.44	n	580
1682	GUILTY	colpevole	guilty	7.64	a	414
1711	TELL	raccontare	to tell	4.8	v	1425
1726	WET	bagnato	wet	3.32	a	163
1728	ROTTEN	marcio	rotten	8.76	a	1022
1730	CHEEK	guancia	cheek	3.64	n	818
1732	SKY	firmamento	sky	10.84	n	674
1733	RAINBOW	arcobaleno	rainbow	4.64	n	100
1739	DECORATE	decorare	to decorate	6	v	498
174	PROUD	orgoglioso	proud	9.92	a	1193
1740	PINE	pino	pine	6.04	n	1328
1747	CUSTOM	usanza	custom	9.04	n	1861
1749	TAKE	prendere	to take	4.36	v	1377
175	BLOW (OF WIND)	soffiare	to blow	4.4	v	1632
1757	TIRED	stanco	tired	5.8	a	1697
1766	FINISH	finire	to end	5.32	v	669
1768	FOAM	schiuma	foam	5.4	n	1560
1770	CARCASS	carcassa	carcass	9.28	n	311
1773	GRAVE	tomba	tomb	7.04	n	1797
1775	TABLE	tavolo	table	3.12	n	1755
1781	THUMB	pollice	thumb	4.72	n	1345
1782	GUEST	ospite	guest	7.16	n	1207
1783	PAIN	pena	pain	7.52	n	1279
1784	WANT	desiderio	wish	6.08	n	510
1788	TELEVISION	televisione	television	4.72	n	1762
1790	LICENSE PLATE	targa	license plate	7.4	n	1749
1791	BUTTERFLY	farfalla	butterfly	3.64	n	627
1793	BAT	mazza	bat	6.12	n	1040
1803	WOOD	bosco	wood	4.52	n	226
1804	BOMB	bomba	bomb	7.375	n	223
1807	AFTERNOON	pomeriggio	afternoon	4	n	1352
1808	PUS	pus	pus	7.5	n	1412
1810	DANGER	pericolo	danger	4.28	n	1293
1812	TRY	provare	to try	7	v	1396
1815	ACHE	dolore	ache	5.24	n	553
1817	WEST	occidente	west	8.92	n	1166
1819	LOOK	guardare	to look	5.08	v	820
1820	BEAR	orso	bear	4.48	n	1201
1821	BRUSH	pennello	brush	6.36	n	1283
1826	ANGRY	arrabbiato	angry	5.04	a	108
1829	JUMP	saltare	to jump	3.48	v	1523
183	BAKE	infornare	to bake	6.72	v	873
1830	CRANE	gru	crane	7.8	n	814
1833	DINNER (SUPPER)	cena	dinner	4.04	n	346
1836	VAGINA	vagina	vagina	10.04	n	1868
1838	NAVEL	ombelico	belly button	3.88	n	1175
1839	CRY	piangere	to cry	3.6	v	1310
1840	BUILD	costruire	to build	5.4	v	461
1844	BOAT	battello	boat	7.708333333333333	n	183
1845	BALL	palla	ball	2.64	n	1225
1847	SICK	malato	sick	4.36	a	1001
1848	QUARREL	lite	quarrel	6.12	n	961
1853	DOVE	colombo	dove	5.375	n	409
1854	SPARROW	passero	sparrow	5.36	n	1257
1856	SOFT	morbido	soft	4.64	a	1093
1857	CROCODILE	coccodrillo	crocodile	4.8	n	399
1862	DONKEY	asino	donkey	4.36	n	122
1864	HUNGER	fame	hunger	3.12	n	614
1867	COIN	moneta	coin	5.12	n	1087
1869	BUY	comprare	to buy	5.32	v	426
1871	CAMEL	cammello	camel	4.92	n	273
1879	DANCE	ballare	to dance	4.92	v	167
1884	HARD	duro	hard	4.68	a	565
1888	PAIR	coppia	couple	7.08	n	442
1892	TOUCH	toccare	to touch	3.12	v	1796
1896	FINGERNAIL OR TOENAIL	unghia	nail	3.96	n	1853
1897	HELP	aiutare	to help	4.48	v	44
1898	SPECTACLES	occhiali	glasses	5.64	n	1163
1899	MAD	folle	mad	8.96	a	688
1901	SHOVEL	pala	shovel	6.24	n	1219
1902	BETRAY	tradire	to betray	9.68	v	1810
1904	DROWN	affogare	to drown	5.92	v	32
1905	EAGLE	aquila	eagle	4.36	n	94
1906	SOUR	aspro	sour	6.04	a	127
1907	MOLE	talpa	mole	5.72	n	1743
191	NUT	nocciolina	nut	5.72	n	1140
1914	DEBT	debito	debt	10.2	n	495
1915	FIR	abete	fir	6.24	n	6
192	CORNER	angolo	corner	5.6	n	75
1923	ROUGH	ruvido	rough	6.68	a	1514
1926	OINTMENT	pomata	ointment	6.32	n	1351
1931	BEESWAX	cera	wax	6.92	n	349
1934	BEGGAR	mendicante	beggar	7.8	a	1050
1936	DEER	cervo	deer	5.96	n	357
1938	FORTRESS	castello	castle	4.32	n	335
194	FAMILY	famiglia	family	3.6	n	616
1941	SOLDIER	soldato	soldier	6.68	n	1638
1943	CROWN (OF HEAD)	corona	crown	4.68	n	450
1944	GOD	dio	god	5.76	n	519
1945	IDOL	idolo	idol	8.4	n	834
1947	BASTARD	bastardo	bastard	9.32	a	181
1952	TORTURE	tortura	torture	7.16	n	1806
1953	ABUSE	abuso	abuse	10.88	n	13
1954	GENTLE	gentile	gentle	6.92	a	750
196	DONATE	regalare	to donate	4.76	v	1449
1961	NECKLACE	collana	necklace	4.44	n	405
1964	ALONE	solo	alone	4.6	a	1645
1972	YOUNG GOAT (KID)	ragazzino	kid	5.32	n	1431
1973	DEMON	demonio	demon	7.76	n	502
1976	MERRY	allegro	merry	4.16	a	51
1981	WIDOWER	vedovo	widower	9.44	a	1886
1986	DISEASE	malanno	illness	7.36	n	999
1991	INTESTINES	intestino	intestine	9.16	n	893
1997	PRESERVE	salvare	to save	6.12	v	1527
2	DUST	polvere	dust	5.4	n	1350
2001	PAINTING	pitturare	to paint	5.04	v	1338
2008	RESCUE	salvataggio	rescue	7.56	n	1528
2009	DOG	cane	dog	2.76	n	288
201	FARM	fattoria	farm	4.56	n	634
2011	COFFIN	bara	coffin	7.68	n	175
2016	JEALOUSY	gelosia	jealousy	6.6	n	745
2018	GREEDY	famelico	starving	10.619047619047619	a	615
2019	HAMMOCK	amaca	hammock	6.84	n	61
2023	CROWD	folla	crowd	6.72	n	687
2025	PEA	pisello	pea	4.04	n	1335
2038	DRAGON	drago	dragon	4.04	n	562
2039	MAGPIE	gazza	magpie	6.833333333333333	n	742
2041	HEMP	canapa	hemp	10.04	n	281
2042	WALNUT	noce	walnut	4.12	n	1141
2045	COLUMN	colonna	column	6.56	n	410
2046	APRON	grembiule	apron	4.84	n	810
2051	DUSTPAN	paletta	dustpan	4.88	n	1224
2052	BUCKET	secchiello	bucket	3.64	n	1590
2057	DUNG (ANIMAL FAECES)	letame	manure	7.88	n	947
2058	STOOL	sgabello	stool	5.72	n	1615
2062	INTEREST	interesse	interest	8.44	n	892
2070	COMB (VERB)	pettinare	to comb	4.08	v	1306
208	NASAL MUCUS (SNOT)	muco	mucus	4.72	n	1106
2099	CHILD	bambino	child	3.2	n	169
21	TASTE (SOMETHING)	gusto	taste	4.96	n	826
210	LIFE	vita	life	6.68	n	1927
2102	BURN	bruciatura	burn	6.04	n	239
2115	CEASE OR FINISH	fermarsi	to stop	4.64	v	650
212	FIELD	campo	field	4.52	n	280
2124	SMELL	odore	smell	4.44	n	1170
2137	MAGICIAN	mago	magician	5.04	n	993
2151	COARSE	grossolano	coarse	9.44	a	813
216	MOVIE	film	movie	4.64	n	667
2181	LIGHT (IN TASTE)	insipido	bland	8.4	a	887
2205	PEAK	picco	peak	8.16	n	1317
2206	RABIES	rabbia	rabies	6.32	n	1423
221	FIRE	fuoco	fire	4.4	n	724
2214	AFFAIR	faccenda	affair	6.88	n	603
222	LAVISH	sontuoso	lavish	10.32	a	1650
2235	CLEAN (SOMETHING)	pulire	to clean	5.28	v	1404
2244	METAL	metallo	metal	8.2	n	1062
2246	BELL	campana	bell	5.04	n	277
227	FISH	pesce	fish	4	n	1301
2287	HORIZON	orizzonte	horizon	6.48	n	1195
2291	VOLCANO	vulcano	volcano	6.56	n	1938
2294	WRINKLE	ruga	wrinkle	9.12	n	1510
2295	SUNSET	tramonto	sunset	5.8	n	1814
2296	SUNRISE	alba	sunrise	6.88	n	45
2297	DUSK	crepuscolo	twilight	9.76	n	468
2298	VIRGIN	vergine	virgin	10.76	a	1896
230	SWEEP	spazzare	to sweep	6.52	v	1665
2316	FREE	libero	free	5.92	a	952
2318	CHESTNUT	castagna	chestnut	5.2	n	334
2319	LID (COVER, CAP)	coperchio	lid	5.6	n	440
2340	SUNNY	soleggiato	sunny	6.36	a	1641
2341	CLOUDY	nuvoloso	cloudy	5	a	1158
2343	STEEL	acciaio	steel	8.2	n	17
2344	PETROL	benzina	petrol	7.68	n	197
2348	CRAB	granchio	crab	4.56	n	801
2353	CICADA	cicala	cicada	8.4	n	370
2366	ONION	cipolla	onion	5.92	n	387
2367	MANDARINE	mandarino	tangerine	4.72	n	1009
2368	GARLIC	aglio	garlic	5.84	n	40
2374	DREAM	sogno	dream	4.68	n	1636
2386	TURKEY	tacchino	turkey	5.08	n	1738
239	FLOWER	fiore	flower	3	n	672
2396	KNOCK	bussare	to knock	4.24	v	250
2397	LOBSTER	aragosta	lobster	7.84	n	95
2403	TOY	giocattolo	toy	3.2	n	769
2405	CHRISTMAS	natale	christmas	3.36	n	1124
2406	HOME	casa	home	3.4	n	327
