CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	SPANISH_VALENCE_MEAN	SPANISH_AROUSAL_MEAN	LINE_IN_SOURCE
10	FIREWOOD	leña	5.65	4.45	8003
100	FAITHFUL	fiel	8.15	3.45	5912
1001	BLACKSMITH	herrero	4.75	5	6724
1002	STATUE	estatua	5.25	4.48	5429
1003	PERMIT	permitir	6.3	5	10119
1004	MUSCLE	músculo	5.7	5.35	9073
1005	TWINS	gemelos	5.8	5.4	6345
1006	BRICK	ladrillo	4.55	5.1	7887
1007	COW	vaca	5.9	4.08	13534
1008	BULL	toro	4.3	6	13180
1010	BOUNDARY	límite	4.3	6	8099
1011	BRIDGE	puente	6.25	5.4	10974
1012	LATCH	cerrojo	4.85	5.25	2504
1016	DRIZZLE	llovizna	5.75	4.3	8173
1019	RIGHT	derecha	4.55	5.15	4001
102	COMMON COLD (DISEASE)	catarro	3.3	6.15	2368
1021	TOWEL	toalla	5.8	4.4	13117
1022	BOOTY	botín	5.3	6.25	1841
1025	WHISTLE	silbar	5.55	4.8	12311
1029	JEWEL	joya	6.45	4.95	7797
1030	NECESSARY	necesario	5.65	5.4	9166
1033	GRIND	moler	4.8	5.4	8874
1035	GOOD	bueno	7.6	3.7	1907
1036	OWNER	dueño	4.65	5.8	4677
1038	TEACHER	profesor	5.75	5.3	10792
1039	SHOW	mostrar	6.25	5.55	8978
1042	CARPENTER	carpintero	5.25	5.25	2293
1044	PILLOW	almohada	7.58	1.8	605
1045	POET	poeta	7.25	4.2	10406
1046	SHUT	cerrar	3.45	4.5	2500
1047	PURSUE	perseguir	3.8	6.65	10136
1048	LINE	línea	5.2	4.35	8115
1051	CAN	lata	5.15	5.05	7934
1059	STEPSON	hijastro	4.8	4.55	6760
1061	ARMOUR	armadura	4.7	5.5	1066
1062	LAW	ley	4.65	5.5	8036
1063	NEPHEW	sobrino	6.85	4.7	12431
1064	SHIELD	escudo	5.53	5.4	5269
1067	JUDGMENT	juicio	3.1	6.75	7821
1068	COURT	tribunal	3.55	5.55	13347
1069	GLUE	pegar	2.35	7.05	9976
1070	BUS	autobús	4.68	5.4	1370
1071	HOOK	gancho	4.55	5.55	6297
1074	FISHHOOK	anzuelo	4.25	5.4	885
1075	TRAP (PITFALL)	trampa	2.55	7.1	13252
1077	WHEAT	trigo	5.5	4	13358
1079	FEEL	sentir	7.95	5.45	12211
108	RUDDER	timón	6	5.1	13082
1082	MERCHANT	comerciante	5.45	4.7	2918
1084	CALL	llamar	5.7	5.3	8154
1085	FOLLOW	seguir	6.15	4.7	12132
1087	CONCEIVE	concebir	7.45	5.3	3043
1088	SINK (DESCEND)	hundir	2.6	6.8	6926
1090	BE BORN	nacer	7.95	5.65	9097
1092	HOPE	esperanza	7.73	4.7	5337
1095	LET GO OR SET FREE	lanzar	5.35	5.9	7918
1096	SONG	canción	7.75	5.05	2149
1098	WEIGH	pesar	4.1	5.9	10176
110	MOTOR	motor	4.95	5.88	8992
1100	COOK (SOMETHING)	cocinar	6.15	4.5	2769
1102	CLIMB	trepar	5.95	5.45	13340
1103	SACRIFICE	ofrenda	6.2	4.7	9469
1104	NURSE	enfermera	5.6	5.38	4981
1105	CAMP	campamento	6.85	5.7	2110
1107	GO OUT	salir	6.4	5.9	11992
1110	SHARK	tiburón	3.6	7.6	13060
1111	CAR	coche	6.2	5.9	2761
1119	DIVIDE	dividir	4.6	5	4569
1120	HONEST	honesto	8	3.45	6828
1121	SECRET	secreto	6.1	6.4	12100
1122	WAGES	salario	7.1	6.4	11984
1124	PIPE	pipa	5.15	4.9	10268
1125	BALD	calvo	3.8	4.75	2077
113	SHORE	litoral	6.3	4.7	8144
1134	DIVORCE	divorcio	2.55	7.2	4577
1136	RABBIT	conejo	6.28	4.43	3118
1137	TENDON	tendón	4.6	5.6	12960
1142	URINE	orina	3.83	5.28	9610
1143	OVEN	horno	5.55	5	6859
1144	WITNESS	testigo	4.7	5.4	13042
1145	SWAMP	pantano	4.85	5.35	9756
1150	THUNDER	trueno	4.4	7.4	13407
1151	VEIL	velo	5	4.7	13653
1152	BEGET	engendrar	6.3	6.6	5003
1153	CATTLE	ganado	6.8	5.25	6288
1155	CAVE	cueva	5.2	4.95	3723
1156	OPEN	abrir	6.25	5.55	67
1158	STEP	paso	5.6	4.95	9889
1160	THIEF	ladrón	2.85	7.23	7888
1161	THREAD	hilo	5.75	4	6767
1162	INTENTION	intención	6.3	5.55	7545
1169	OX	buey	5.95	5.1	1908
117	IMITATE	imitar	5.1	5.9	7005
1171	MIRROR	espejo	6.7	5.4	5334
1174	YESTERDAY	ayer	5.2	4.55	1449
1175	GHOST	fantasma	3.75	6.9	5802
1180	DAY BEFORE YESTERDAY	anteayer	5	4.5	836
1181	PALM TREE	palmera	6.05	3.65	9724
1182	NOISE	ruido	3.3	7.05	11918
1183	PALM OF HAND	palma	5.4	4.95	9723
1185	VULTURE	buitre	4.1	5.75	1914
1186	LAST (ENDURE)	durar	6.25	5.15	4697
1187	GOOSE	ganso	5.45	4.4	6300
1188	CHARCOAL	carbón	4.7	5.35	2244
1192	THREATEN	amenazar	2.35	7.65	693
1198	MANY	mucho	6.4	5.35	9011
1199	WIFE	esposa	5.95	5.4	5365
12	MIDDAY	mediodía	6.2	4.95	8602
1200	HUSBAND	esposo	5.65	5	5366
1201	FEATHER	pluma	6.55	3.75	10367
1202	BIG	grande	5.85	5.6	6507
1203	LONG	largo	5.25	5.05	7925
1204	BARK	corteza	5.15	3.7	3511
1205	TONGUE	lengua	5.7	5.45	8004
1206	BARKING	ladrar	4.95	5.9	7885
1207	YOUNG	joven	7.98	5.3	7794
1208	CAT	gato	7.75	4.45	6335
121	SPIN	hilar	5.4	4.05	6765
1210	HEAVY	pesado	3.45	5.55	10173
1216	MOTHER	madre	8.4	4.3	8268
1217	FATHER	padre	7.4	4.2	9686
1218	ROPE	cuerda	5.2	5	3711
1219	WORM	gusano	3.9	5.83	6606
122	CART	vagón	5.6	5.45	13556
1220	TAIL	cola	4.5	5.5	2813
1221	NOSE	nariz	5.8	4.55	9126
1222	PENIS	pene	6.45	7.28	10016
1223	HEART	corazón	7	5.93	3441
1224	LIVER	hígado	4.65	5.95	6754
1225	DAY (NOT NIGHT)	día	6.65	4.9	4338
1226	YEAR	año	5.75	4.95	815
1227	BOARD	tabla	4.95	4.25	12797
1228	EARTH (SOIL)	suelo	5	4.15	12649
1229	OLD	antiguo	6	4.4	862
123	FOREHEAD	frente	5.05	4.7	6156
1230	DIRTY	sucio	2.38	6.15	12634
1231	NEW	nuevo	7.65	5.9	9325
1233	NIGHT	noche	5.4	4.55	9250
1234	SMOOTH	liso	5.55	4.05	8132
1235	WHO	quien	5.05	5.4	11062
1236	WHAT	que	5	4.75	11040
1237	WHERE	donde	5.05	5.15	4637
1238	WHEN	cuándo	5.6	5.3	3664
1239	HOW	cómo	5.05	5.2	2940
1242	FEW	poco	3.65	4.35	10391
1243	WIDE	ancho	4.9	4.85	754
1244	THICK	grueso	4.8	5.3	6558
1245	BUTTER	mantequilla	5.7	4.65	8411
1246	SMALL	chico	6.35	6	2562
1248	EYE	ojo	6.3	4.3	9481
1250	JAGUAR	tigre	5.4	7.5	13069
1251	BELLY	vientre	6.15	4.8	13807
1252	HOUSE	casa	7.55	3.3	2320
1254	HANDLE	asa	5.1	4.65	1153
1255	SNOWING	nevar	7.15	4.65	9215
1256	HEAD	cabeza	5.95	5.05	1973
1257	WING	ala	5.7	4.9	457
1261	SING	cantar	6.95	5.6	2180
1262	BROTHER	hermano	8.18	4.4	6709
1263	SISTER	hermana	7.5	4.55	6704
1264	CHANGE	cambiar	6.3	5.9	2093
1266	BRIDE	novia	7.55	5.75	9305
1267	NARROW	estrecho	4.4	5.1	5485
127	EXTINGUISH	apagar	4.3	4.1	888
1271	DELIGHT	complacer	6.5	5.1	2984
1272	AUNT	tía	6.6	4.75	13056
1273	CANDLE	vela	6.05	3.75	13648
1274	SALT	sal	5.2	4.8	11980
1275	ANSWER	contestar	6.15	5.85	3327
1276	AUTUMN	otoño	6.48	4.2	9646
1277	HAND	mano	5.88	4.7	8397
1278	VOMIT	vomitar	2	7	13944
1280	FALL	caer	3.7	6.1	2005
1281	PRISON	cárcel	2.33	6.95	2250
1282	FAT (FROM ANIMALS)	manteca	4.8	4.95	8406
1283	TODAY	hoy	5.8	5.05	6883
1285	IMPORTANT	importante	7.15	7.25	7059
1286	HOT	caliente	6.65	5.2	2050
1287	COLD	fría	4.2	5.6	6163
1288	CAP	gorro	5.75	4.35	6468
1289	BABY	bebé	7.95	4.8	1647
129	CHOKE	ahogarse	2.08	7.53	437
1290	ELEPHANT	elefante	6.1	5.85	4791
1291	BACK	espalda	5.75	4.1	5303
1294	ZERO	cero	4.1	4.55	2495
1295	STICK	palo	5.15	5.2	9726
1297	LEG	pierna	5.85	4.45	10233
1298	NEWSPAPER	periódico	5.85	4.65	10100
1299	COFFEE	café	6.45	6.75	2008
13	DECEIT	engaño	2.23	7.73	5001
1300	COUNTRY	país	6.15	5.2	9696
1301	FOOT	pie	5.2	4.2	10225
1302	FORK	tenedor	5	4.35	12964
1303	FINGER	dedo	5.38	5	3865
1305	CHIMNEY	chimenea	7.15	3.65	2569
1306	QUEEN	reina	6.25	5.48	11448
1307	LANGUAGE	idioma	5.45	5.05	6957
1308	DOUBT	dudar	3.5	6	4672
1309	ASK (INQUIRE)	pedir	4	6	9970
131	FESTIVAL	partido	5.75	6.1	9863
1312	FOX	zorro	5.45	5.75	14025
1313	MOON	luna	7.65	2.95	8242
1316	TENT	toldo	5.2	4.45	13131
1318	CHICKEN	pollo	5.6	4.3	10435
132	SAUCE	salsa	6.6	5.65	12004
1320	APPLE	manzana	6.15	4.2	8420
1321	BOTTLE	botella	5.55	5.05	1838
1322	BREAKFAST	desayuno	7.4	3.7	4066
1323	CLOCK	reloj	5.2	4.63	11493
1324	SLIP	resbalar	3.7	5.95	11624
1325	FRIEND	amigo	8.1	4.53	702
1326	DOWN	abajo	4.85	3.85	5
1327	UNCLE	tío	6.95	5.6	13092
1329	TOMORROW	mañana	6.2	5.15	8359
133	WEAVE	tejer	6.15	4.75	12902
1330	DEFEND	defender	7.25	6.3	3871
1331	SHEEP	oveja	6	3.95	9656
1332	NEIGHBOUR	vecino	5.4	5.5	13629
1333	NECK	cuello	5.65	5.45	3706
1335	WHITE	blanco	6.23	3.58	1749
1336	EAT	comer	7.43	4.73	2914
1338	PEACE	paz	8.45	2.28	9950
134	FAULT	culpa	2.55	6.95	3735
1341	HEAT UP	calentar	6.55	5.25	2046
1342	SUMMER	verano	8.1	5.5	13710
1343	SUN	sol	7.4	3.85	12460
1346	THROAT	garganta	5.05	4.75	6309
1347	NAPE (OF NECK)	nuca	5.3	4.4	9320
1348	BOAR (MALE PIG)	jabalí	6	6.21	7753
1350	MONKEY	mono	6.4	5.15	8902
1352	KNIFE	cuchillo	2.8	6.9	3702
1353	HOUR	hora	5.3	4.6	6839
1355	LAUGH	reír	8.45	5.6	11456
1356	NUMBER	número	5.35	5.1	9332
1357	DAUGHTER	hija	7.1	5.65	6759
1358	ENEMY	enemigo	2.45	7.45	4965
1359	SEPARATE	separar	3.5	5.55	12218
136	HERE	aquí	5.9	4.3	1004
1360	DUCK	pato	6.1	4.2	9917
1361	TOOL	herramienta	5.1	4.88	6722
1362	STREET	calle	6.08	5.05	2065
1363	VOICE	voz	6.9	5.65	13952
1365	KITCHEN	cocina	6.28	4.88	2768
1366	BOY	muchacho	6.5	4.6	9008
1367	CROSS	cruz	4.4	5.45	3646
1368	BREAD	pan	6	3.75	9734
1369	GOLD	oro	6.65	5.75	9616
1370	MONTH	mes	5.25	4.75	8690
1371	KNEE	rodilla	4.9	4.4	11842
1373	TEA	té	6.1	3.45	12883
1374	RING	anillo	6.2	6	798
1375	WINDOW	ventana	6.18	3.78	13691
1376	NOW	ahora	6.7	4.7	440
1378	SPOON	cuchara	5.85	4.2	3696
1379	TELEPHONE	teléfono	6.05	5.35	12915
1380	TOOTH	dientes	5.65	5.45	4378
1381	SHOE	zapato	6.1	4.35	14008
1382	NEEDLE (FOR SEWING)	aguja	3.95	6.45	431
1383	GRANDFATHER	abuelo	8.5	4.4	90
1384	SECOND	segundo	5.25	4.85	12137
1385	PEPPER	pimienta	5.25	5.75	10245
1386	LION	león	6.25	7.3	8014
1387	ARRIVE	llegar	6	5.1	8163
1388	SHADE	sombra	4.9	5.43	12498
1390	WRONG	incorrecto	2.55	6.3	7191
1391	TOWN	ciudad	5.55	5.8	2682
1392	LOUSE	piojo	2.93	6.7	10264
1393	HORN (ANATOMY)	cuerno	4.55	6.15	3712
1394	BONE	hueso	5.3	4.95	6893
1398	DRY	seco	4.2	4.1	12092
14	YOKE	yugo	3.65	5.73	13993
1400	THIN (SLIM)	delgado	6.55	4.6	3911
1401	DRINK	beber	5.85	5.75	1648
1402	BREAST	seno	5.95	5.1	12183
1403	BITE	morder	4.15	6.8	8948
1404	STRAIGHT	recto	4.6	4.35	11330
1405	NAME	nombre	5.65	4.53	9260
1406	FAR	lejos	3.7	5.7	8001
1407	BREATHE	respirar	7.8	3.7	11673
1408	HEAR	oír	6.7	4.8	9475
1409	SEE	ver	6.75	5.45	13705
141	BURN (SOMETHING)	quemar	3.65	6.3	11054
1410	KNOW (SOMETHING)	saber	7.4	4.25	11942
1412	RUDE	grosero	2.25	6.4	6554
1413	PLAY	jugar	7.8	6.15	7818
1414	SQUEEZE	exprimir	5.25	5.55	5698
1416	SIT	sentar	5.45	3.55	12204
1417	KILL	matar	1.35	7.95	8515
1418	DIG	cavar	4.15	5.55	2402
1419	FEAR (BE AFRAID)	temer	2.55	7.2	12933
1420	COUNT	contar	6	4.45	3313
1421	SUCK	chupar	5.85	6.8	2598
1422	BE ALIVE	vivir	8.55	6.2	13910
1424	YELLOW	amarillo	6.1	4.73	673
1425	GREEN	verde	7.15	4.08	13716
1426	EXPENSIVE	costoso	3.05	6.6	3537
1427	BEAUTIFUL	hermoso	7.55	4.58	6713
1428	BURNING	arder	2.85	7.5	1035
1429	FULL	lleno	5.25	5.4	8166
1430	STAR	estrella	7.35	4.35	5486
1432	CUT	cortar	3.3	5.75	3504
1435	HUNT	cazar	3.3	7.1	2409
1436	SCRATCH	rascar	5.74	5.3	11156
1439	SWIM	nadar	7.55	4.7	9109
144	MACHINE	máquina	5.5	5.15	8427
1440	SPIT	escupir	2.95	6.75	5275
1441	FLY (MOVE THROUGH AIR)	volar	7.05	5.05	13924
1442	STAND	estar	6.5	4.9	5424
1443	WALK	caminar	7	4.5	2099
1446	COME	venir	6.45	4.5	13687
1447	GIVE	dar	6.65	4.9	3793
1448	HOLD	sostener	5.8	4.95	12547
1451	SMILE	sonreír	8.15	4.05	12515
1452	PUSH	empujar	4.2	6.1	4894
1453	WASH	lavar	5.85	4.05	7955
1455	PULL	tirar	4.1	5.2	13104
1456	THROW	echar	4.35	6.25	4705
1457	SEW	coser	5.5	4	3522
1458	SAY	decir	6.05	5.1	3839
146	SUGAR CANE	caña	6.15	4.9	2128
1463	DRUNK	borracho	3.1	6.45	1821
1464	LADDER	escalera	5.1	5.2	5184
1465	BOX	caja	5.95	4.25	2016
1467	CIRCLE	círculo	5.33	4.53	2661
1468	LOOK FOR	buscar	5.2	5.8	1947
1469	WEEK	semana	5.3	5.25	12152
1470	FOLD	doblar	5.3	5.3	4581
1471	WINTER	invierno	5.75	4.3	7677
1472	KEY	llave	5.78	4.43	8161
1474	SEA	mar	8.05	2.9	8432
1475	COMB	peine	6.2	4.25	9978
1476	CHAIR	silla	5.45	3.4	12319
1477	KEEP	mantener	5.55	4.95	8408
1479	DOLPHIN	delfín	7.8	4.35	3910
1480	BODY	cuerpo	5.68	5.83	3714
1481	HAMMER	martillo	4.58	5.73	8484
1482	SHOULDER	hombro	5.45	4.3	6812
1484	OIL (ORGANIC SUBSTANCE)	aceite	5.6	4.7	129
1485	BELOW OR UNDER	debajo	4.95	4.75	3802
1487	POUR	verter	4.16	5.2	13744
1489	CLOUD	nube	6.9	3.55	9314
1490	RAT	rata	3.43	6.75	11165
1491	MOUSE	ratón	5.1	6.9	11171
1492	DUMB	tonto	3.18	5.93	13151
1493	ONE	uno	4.7	3.95	13491
1494	DIE	morir	1.7	7.35	8958
1495	HAPPY	feliz	8.3	5.73	5858
1496	GRANDMOTHER	abuela	8.05	4.5	89
1498	TWO	dos	6.05	4.2	4650
1499	JUICE	jugo	5.68	4.75	7819
15	OTTER	nutria	5.8	4.37	9338
1500	FOUR	cuatro	5.3	4.15	3683
1501	BORE	perforar	3.95	6.3	10089
1502	GOAT	cabra	5.9	4.7	1981
1503	SALIVA	saliva	5.25	5.25	11995
1504	FLY (INSECT)	mosca	3.65	5.75	8969
1506	MEASURE	medir	5.7	4.75	8603
1507	FRUIT	fruto	6.1	3.7	6186
1509	MOSQUITO	mosquito	3.23	5.68	8974
1510	CHIN	mentón	5.2	4.95	8663
1511	ROOSTER	gallo	5.3	5.1	6278
1514	HEN	gallina	5.6	5	6276
1517	WASP	avispa	3.53	7.25	1444
1518	STUPID	estúpido	2.9	6.5	5522
1519	RUN	correr	5.8	6.35	3486
1521	SEEM	parecer	5.15	5.5	9816
1522	SOCK	calcetín	5.6	3.8	2033
1523	FORGET	olvidar	3.65	5.35	9497
1524	WINE	vino	6.28	5.38	13837
1525	COAST	costa	7.3	3.93	3526
1528	FORGIVE	perdonar	7.9	4.7	10069
1529	LAST (FINAL)	último	3.7	5.25	13455
1530	BOWL	cuenco	5.05	4.35	3708
1531	BRANCH	rama	5.25	4.4	11125
1533	BE HUNGRY	hambriento	3.13	7.05	6643
1534	FEVER	fiebre	2.6	6.15	5911
1535	SWORD	espada	5.1	5.8	5301
1536	UNDERSTAND	entender	6.35	4.4	5048
1537	SPRINGTIME	primavera	7.75	4.45	10708
1539	BASKET	cesta	5.63	4.15	2520
1543	SNAIL	caracol	6.1	3.3	2233
1547	SOUP	caldo	6.1	2.85	2040
1548	UGLY	feo	3.9	4.7	5867
1554	MAN	hombre	6.9	5.95	6809
1558	SIMILAR	similar	5.5	4.25	12336
1559	MONEY	dinero	6.75	6.35	4433
156	RED	rojo	6.25	6.28	11851
1560	FACE	cara	6.25	4.58	2230
1562	MIND	mente	6.73	5.2	8658
1564	LAZY	flojo	3.7	4.15	6008
1566	GUN	pistola	2.55	7.33	10290
1567	DOOR	puerta	5.05	4.75	10978
1569	CHEESE	queso	6.6	4.8	11059
1571	SELL	vender	5.75	5.8	13671
1574	FLOAT	flotar	7.55	4.35	6027
1575	COCKROACH	cucaracha	2.72	6.95	3695
1576	PILE UP	amontonar	3.47	5.65	713
1578	IGUANA	iguana	4.65	5.15	6975
1583	BRAIN	cerebro	5.5	5.85	2489
1584	BLISTER	ampolla	3.25	6.18	724
1585	SLEEP	dormir	7.9	1.6	4644
1586	SMELL (PERCEIVE)	oler	6.15	4.45	9487
