CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	SENSES	LINE_IN_SOURCE
1097	ABANDON	abandon (V)	to stay;to destroy	1
1251	BELLY	abdomen	belly	2
2527	ABILITY	ability	able;to know;strong;luck	4
972	BE ABLE	may	able;to know	3807
3866	ABORTION	abortion	sick	12
1741	ABOVE	over	top	4262
303	ABSTAIN FROM FOOD	abstain (V)	obstacle;to endure	21
1953	ABUSE	abuse (V)	to curse	27
1542	ACCOMPANY	accompany (V)	to follow;to help;together	37
1814	ACCUSE	accuse (V)	to curse;to deceive	46
1815	ACHE	ache (V)	sick;to die	49
1906	SOUR	acid	gall;sour;bitter;to rot	52
968	ACORN	acorn	to paint;tree;grain	56
3892	ACQUIRE (SOMETHING)	acquire (V)	to take	58
2670	ACROSS	across	to bend;side	59
1861	ACTIVE	active	quick;to know	63
802	ADAM'S APPLE	adam's apple	throat;neck	64
2882	ADD	add (V)	layer;many;to count;two;together;to bind	65
2022	ADMIT	admit (V)	to think	81
917	ORNAMENT	adornment	cloth	87
902	ADULTERY	adultery	to play	88
290	ADZE	adze	knife;to beat	93
2214	AFFAIR	affair	to work;to make	96
1419	FEAR (BE AFRAID)	fear (V)	to fear;to shake;to praise;to follow	2252
1685	AFTER	after	back;time;behind;to follow	106
2093	AFTERWARDS	afterwards	to follow;time	108
204	AGAIN	again	big;to follow;two;to roll;many	109
2469	AGAINST	against	obstacle	110
1789	AGE	age	time;year;moon;old	111
2112	OLD (AGED)	aged	old;to tire	112
3643	AGREE	agree (V)	to speak;true;to think;together	120
3644	AGREEMENT	agreement	debt	123
27	AIR	air	wind;to blow;face;sky	131
404	ALCOHOL (FERMENTED DRINK)	fermented drink	beer	2282
3867	ALCOHOLIC (PERSON)	alcoholic	beer	137
1558	SIMILAR	alike	similar;together	143
1422	BE ALIVE	alive	to live	144
98	ALL	everything	all	2078
1003	PERMIT	permit (V)	to give;to speak	4433
1964	ALONE	alone	one;pronoun	158
2576	ALREADY	already	time	161
853	ALTAR	altar	chair	163
1676	ALWAYS	always	shape;time	166
65	AMBUSH	ambush	trap;to hide	169
2987	AMOUNT	amount	time	170
1669	ANCESTORS	ancestor	to praise;time	175
1577	AND	and	big;time;many	178
82	ANGER	anger	anger;lung;silly;gall;to curse	181
1826	ANGRY	angry	anger;grief;to curse;war;strong;to fear	183
619	ANIMAL	animal	deer;elephant;meat;horse;marten;sheep	185
803	ANKLE	ankle	foot;bone	188
9	ANNOUNCE	announce (V)	to speak;to call	191
2892	MAKE ANGRY (ANNOY)	annoy (V)	devil;heavy;grief;to tire;to curse	193
2223	BE ANGRY	annoyed	grief	195
197	OTHER	another	pronoun	197
1275	ANSWER	reply (V)	to speak	5011
587	ANT	ant	insect;worm	199
3674	ANTELOPE	antelope	deer	200
1935	ANUS	anus	genitals;behind;below;hole	201
1648	ANVIL	anvil	metal	202
1000	ANXIETY	anxiety	to fear;shame	203
3869	ANXIOUS	anxious	grief;to think	204
1076	EMERGE (APPEAR)	emerge (V)	big;top;high;side;to make;to swell;wide;to wake;to grow	7069
1017	APPEARANCE	appearance	face;shape;to shine;to measure	213
1320	APPLE	apple	fruit	215
1778	APPROACH	approach (V)	near;to go;to reach	221
3730	APRICOT	apricot	grain	223
2046	APRON	apron	to cover;cloth	224
876	ARCH	arc	bow;to bend	226
1673	ARM	arms	sharp	236
3149	ARMLET	armlet	clothes	233
1061	ARMOUR	armour	skin;war	234
1886	ARMPIT	armpit	hand;hole	235
1561	ARMY	army	war;many	237
1568	ARRANGE	arrange (V)	to carry;to make;to put;to want;to follow;together;shape;to take	240
1387	ARRIVE	reach (V)	to reach;to go;to touch;to bind	4894
977	ARROW	arrow	bow;sharp;stick;edge;to cut;war	246
3997	ARTICHOKE	artichoke	vegetable	249
705	GO UP (ASCEND)	mount (V)	top;vehicle;to run	3962
646	ASH	ash	tree	257
1894	ASHAMED	ashamed	red;shame	259
1309	ASK (INQUIRE)	question (V)	to speak	4828
834	BUTTOCKS	ass	horse	266
3638	ASSEMBLE (GET TOGETHER)	assemble (V)	group;to swell;together	271
3837	ASTRINGENT	astringent	bitter;sour	280
1461	AT	at	to be	282
2915	AT FIRST	at first	face	286
1963	IMMEDIATELY	at once	quick	288
3894	ATTACH	attach (V)	to bind;to put;similar;to meet;to adhere	294
3899	ATTACKING	attack (V)	thief;together;to take;to follow;to curse	296
1908	ATTENTIVE	attentive	grief;to think;to learn	300
2410	GOOD-LOOKING	attractive	to want	303
2851	AUGUST	august	to praise	305
1272	AUNT	mother's younger sister	relative	3953
1637	AUTHORITY	authority	to praise	308
1276	AUTUMN	autumn	time;rain	309
3639	AVOID	avoid (V)	shame;obstacle;to fear	312
1590	WAIT (FOR)	await (V)	to wait	313
825	AWAKE	awake	to wake;shape	314
278	AWL	awl	stick;thorn;needle	319
677	AXE	hatchet	knife	2902
1769	AXLE	axle	to roll;sharp	324
1291	BACK	back	back;body;side;breast;belly;end;behind;middle	326
2323	BACK (PART)	back part	back	328
805	SPINE	backbone	back;mountain	331
1292	BAD	bad	bad;rough;thief;to deceive;anger;sick;to tire;big	334
3717	BADGER	badger	marten;wolf	341
2468	BAG	bag	basket;sack;vessel;clothes	342
2013	BAIT	bait	to eat	343
183	BAKE	bake (V)	to roast;to burn	344
1125	BALD	bald	naked;to wither;head	349
1845	BALL	sphere	circle	5776
1927	BAMBOO	bamboo	grass;joint	353
868	BANANA	banana	fruit	356
1284	BANK	bank	big;shore;mountain;side;earth;to break;edge;valley	361
1204	BARK	bark	grass;skin;leaf;vessel	372
1206	BARKING	bark (V)	noise;to curse	373
3152	MUNTJACS	barking deer	deer	375
932	BARLEY	barley	grain	376
3025	BARN OR SHED	shed	house;fence;stick;obstacle	5443
2548	BARREL	barrel	vessel	378
2565	CASTRATED BOAR	barrow	vessel	382
370	BARTER	barter (V)	to move;debt;to give	383
915	SINK (BASIN)	basin	vessel;pool	386
1539	BASKET	basket	basket;net;vessel;measure;to bind;fence	387
1947	BASTARD	bastard	new;child;relative	392
1793	BAT	bat	marten;frog	394
138	BATHE	bath	to wash	395
579	BATTLE	battle	war;hunt	399
386	BATTLE-AXE	battle-axe	knife	400
663	BAY	bay	to bend;river	402
1579	BE	exist (V)	to be;to sit	2115
1860	BEAD	beads	circle;ornament	417
73	BEAK	beak	mouth;nose;edge;face;head;neck	418
832	BEAN	beans	vegetable;grain	422
1820	BEAR	bear	wolf;hair;marten	423
678	BEARD	beard	hair;tail;soft	426
958	WILD ANIMAL	beast	meat;wolf	428
1665	BEAT	beat (V)	foot;to beat;to throw;to shake;to destroy;to break;to pierce;wound;to cut	430
1427	BEAUTIFUL	beautiful	beautiful;to shine;good;strong;healthy;to love	436
1194	BEAVER	beaver	marten	440
1157	BECAUSE	because	to make;shape	441
1990	BECOME	become (V)	to be;to stand;to open;to put;to make;able	442
1663	BED	bed	chair;to lie;to sit;place	444
665	BEE	bee	insect;sweet;wax	446
88	BEEHIVE	beehive	wax	447
2570	BEEF	beef	to eat	448
1639	BEER	beer	beer	449
1882	BEFORE	before	side;face;nose;front;old	456
3534	BEG	beg (V)	to deceive;luck	458
1152	BEGET	beget	to make	459
1934	BEGGAR	beggar	to bend	460
1806	BEGIN	start (V)	to make;to throw;to start;one	5888
1557	BEGINNING	beginning	head;to start;old;front;root	462
1686	BEHIND	behind	back;side;behind;below;end;to stay	464
2245	BELCH	belch (V)	to vomit	467
1890	BELIEVE	believe (V)	to think;to want	468
2246	BELL	bell	music	469
3658	BELLOWS	bellows	to blow;bubble;sack	471
2470	DEAR	beloved	to love;relative;child	476
1485	BELOW OR UNDER	under	below;to sink	6597
772	BELT	belt	liver;to bind;belly;rope;clothes;back;to sew;obstacle	478
2584	BENCH	bench	chair	479
2224	BEND (SOMETHING)	bend	to bend;to roll;edge	480
2929	BENEFIT	profit	grief	4701
297	CROOKED	bent	crooked;to bend;bow	490
904	BERRY	berry	fruit	494
177	BETEL PEPPER VINE	betel	grain	501
689	BETWEEN	between	middle;to divide	503
731	BEVERAGE	beverage	to drink;beer	506
3858	CONFUSED	bewildered	silly	508
1202	BIG	great	big;many;to love;strong;thick;good;high;old	2762
1780	BILE	gall	gall;dense;liver	2592
1081	BILL	bill	edge	519
1917	TIE	bind (V)	to bind;to cover;saddle;together;clothes;to adhere;to twist;obstacle;to sew;rope	523
1855	BIRCH	birch	tree	526
937	BIRD	bird	bird;feather;to cry;to fly;high;child	527
2805	BIRTH (ACCOUCHEMENT)	birth	to bear	531
1751	BIRTHMARK	birth-mark	spot	532
3142	BISON	bison	cow	533
2481	FEMALE DOG	bitch	dog	534
1403	BITE	bite (V)	mouth;to bite;to cut;to eat;to destroy;to drink	536
887	BITTER	bitter	bitter;liver;to scrape;sour;to rot	540
163	BLACK	black	dark;red;black;to paint;coal	541
1001	BLACKSMITH	blacksmith	to work	548
1746	BLADDER	urinary bladder	bubble;genitals;urine	6653
381	BLAME	blame	to curse	552
2716	BLAME (SOMEBODY)	blame (V)	to curse;to laugh	553
806	BLANKET	blanket	to cover;skin	555
3615	BLEED	bleed (V)	bad	561
391	BLESS	bless (V)	luck;to praise	563
1653	BLIND	blind	dark;silly;white	566
1655	BLINK	wink (V)	hair;wrinkle	6934
1584	BLISTER	blister	wart;to swell;bubble	570
946	BLOOD	blood	blood;red;sinew;healthy	576
3287	BLOOM	blossom	flower;tree;wet	578
175	BLOW (OF WIND)	blow	to cut;wind	584
2679	BLOW (WITH NOSE)	blow nose	pus	586
837	BLUE	blue	blue;red;white;vegetable;grass	588
379	BLUNT	blunt	blunt;circle	590
1348	BOAR (MALE PIG)	boar	pig;marten	591
1227	BOARD	plank	flat;stick;chair	4535
101	BOAST	brag (V)	to praise	657
1844	BOAT	boat	boat;vessel;stick;skin	596
1480	BODY	body	back;belly;body;thing;side;strong;person;skin;shape	600
2213	BODY PART	body part	joint	602
1145	SWAMP	bog	dirt;grass;valley	603
2493	BOIL	boil	to boil;wart	605
2007	BOLT (OF LIGHTNING)	bolt	obstacle;stick	611
1394	BONE	bone	bone;cheek;foot;brain;ornament	614
963	BOOK	book	to speak	617
585	BOOT	boot	shoe;clothes	618
2546	BORDER	border	edge;side;obstacle;shore	621
905	BORING	bored	to fear;bad	626
1090	BE BORN	suffering	hard;hunger;sick;to tire;to endure;heavy;bad	6082
1823	BORROW	borrow	debt	628
1402	BREAST	bosom	breast;side;liver;hand	630
2869	BOTHER (HARASS)	bother (V)	grief;to think	634
1321	BOTTLE	bottle	beer;vessel	635
690	BOTTOM	bottom	root;side;below;earth;foot;end;deep	638
346	BANYAN	bough	tree;sharp;stick	639
1010	BOUNDARY	boundary	edge;place;mountain;obstacle;field	642
994	BOW	bow	bow;to bend;sharp;knife;stick;sack;war;obstacle	644
2119	BOW STRING	bow-string	rope;sinew	648
1991	INTESTINES	bowels	belly	649
1530	BOWL	bowl	vessel	650
1366	BOY	boy	child;new	654
1754	BRACELET	bracelet	to bend;circle;to twist	656
1043	BRAID	braid	to twist;hair	658
1583	BRAIN	brain	brain;head;naked;to think	660
2362	BRAN	bran	skin	661
1531	BRANCH	limb	foot;thing;tree	3582
621	IRON	brand	fire	665
3743	BRASS	brass	metal	668
3	BRAVE	courageous	wide;strong	1327
2902	BRAWL (FIGHT)	brawl (V)	to beat	670
1368	BREAD	bread	grain	674
680	BREAK (DESTROY OR GET DESTROYED)	break (V)	to break;to divide;to destroy;to tear;to cut;to beat	676
870	BREATH	breath	dense;smoke;to blow;blood;good;to live;sky	689
1407	BREATHE	breathe (V)	noise;to blow;to live;to smell	690
3982	BREEZE	breeze	wind	693
1006	BRICK	brick	brick	696
1266	BRIDE	bride	woman;debt;relative	697
3282	GROOM	bridegroom	person;relative;host	698
1011	BRIDGE	bridge	bridge	699
679	BRIGHT	bright	to burn;to shine;clean;white	703
3709	BRILLIANT	brilliant	to burn;to shine	706
692	BRING	bring (V)	to carry;to take	710
2134	RAISE (BRING UP)	rear (V)	to learn	4907
2531	BROAD	broad	wide;flat	724
588	BROKEN	broken	to break;to destroy;to beat	727
2313	BRONZE	bronze	metal	730
2075	BROOD (VERB)	brood (V)	host	731
3821	BROOK	brook	valley;water;liquid	732
245	BROOM	broom	hair;to sweep;stick;grass	733
1547	SOUP	broth	to eat	734
1262	BROTHER	brother	relative	735
2314	BROTHER-IN-LAW	brother-in-law	relative	739
1173	EYEBROW	brow	face	740
2409	BROWN	brown	red;dark	741
1148	BRUISE	bruise (V)	to scrape;bad	743
3109	BRUSH (TEETH)	brush (V)	to rub;to sweep;to comb	744
3689	BUBBLE	bubble	foam;bubble	751
2052	BUCKET	bucket	vessel;to scoop	756
2040	BUCKWHEAT	buckwheat	grass;grain	761
1684	BUD	bud	grain;leaf;to swell;tree;egg;thorn	762
2076	SPROUT (VERB)	bud (V)	tree	763
934	BUFFALO	buffalo	cow	764
1027	BUG	bug	insect	766
1840	BUILD	build (V)	house;to put;to make	767
3396	BUILDING	building	house;fence;door	768
2617	BULB	bulb	end	770
1008	BULL	bull	cow;meat;person	773
1114	BULLET	bullet	bow	776
1966	BUNCH	bunch	hair;to bind;to adhere;fruit	782
2943	BUNDLE	bundle	hair;to twist;to bind;together;grass	783
1679	LOAD	burden	back;to carry	789
3336	FUNERAL	burial	grave	792
2102	BURN	burn (V)	fire;to burn;warm;to boil;to shine	793
1428	BURNING	burning	to burn	795
2949	LAIR	burrow	hole;to pierce	799
3020	BREAK (BREAKING)	burst (V)	to break;to cut;to pierce	801
1719	BURY	cover up (V)	to cover	1334
1683	BUSH	bush	root;tree;thorn;grass;fruit	804
2755	BUSY	busy	to make;to work;strong;to want	807
2569	BUTCHER	butcher	meat	808
1245	BUTTER	butter	fat;milk	811
1791	BUTTERFLY	butterfly	insect	812
757	BUTTON	button	obstacle	816
1869	BUY	buy (V)	debt;to move;to search	817
774	CABBAGE	cabbage	vegetable	822
3283	CAGE	cage	obstacle;sheath;fence;net	824
2408	CAKE	cake	grain	826
2867	CALCULATE	calculate (V)	to think;to count;to write	830
1967	CALENDAR	calendar	to write	831
1989	CALF	calf	deer;sheep;child;cow	832
498	CALF OF LEG	calf of leg	foot;bone;hand	833
1084	CALL	call (V)	name;to speak;to call;noise;relative	834
715	SHOUT	call out (V)	noise	835
258	CALM	calm	light;luck;to make	838
1871	CAMEL	camel	pig;deer	840
1105	CAMP	camp	house;place	841
1273	CANDLE	candle	to shine	845
874	CANDY	candy	dense	846
146	SUGAR CANE	sugar-cane	sweet;grass	6086
1970	CANOE	canoe	boat	849
1288	CAP	cap	clothes;to cover;top	854
1662	CAPE	cape	edge	856
1072	PRISONER	captive	war	861
1770	CARCASS	carcass	body	866
2758	CAREFUL	careful	to love;to know	869
2685	CARP (FISH)	carp	fish	874
292	RUG	carpet	chair;to cover	876
2620	CARRIAGE	carriage	vehicle	877
3085	CARROT	carrot	vegetable	878
700	CARRY	carry (V)	sheath;to carry;vehicle;to reach;to change;to pull;to take	879
465	CARRY ON BACK	carry on back (V)	to carry;back	882
413	CARRY ON SHOULDER	carry on shoulder (V)	to carry;sheath	883
228	CARVE	carve (V)	to cut;sign;knife	885
1938	FORTRESS	fortress	house;stick;to guard	2499
29	GELD	castrate (V)	to cut	898
1208	CAT	cat	wolf;marten	899
702	CATCH	catch (V)	to take;to pinch;trap;net	901
2247	CATERPILLAR	caterpillar	snake;to crawl;worm	908
1153	CATTLE	cattle	cow;cattle	909
860	CAUSE	lawsuit	to curse;to fear;debt	3477
1155	CAVE	cave	hole;mouth;mountain	915
1928	CEASE	cease (V)	end;obstacle;bad;old	918
3929	BRAZILIAN CEDAR	cedar	tree	920
769	ROOF	ceiling	house;stick	922
3284	GRAVEYARD	cemetery	to die	926
1974	CENTIPEDE	centipede	insect;snake	927
491	CENTER	centre	middle;hole	929
509	CERTAIN	certainly	big	935
2363	CHAFF (HUSK)	chaff	dust;straw;skin;grain;to throw	937
1627	CHAIN	chain	circle	939
1476	CHAIR	seat	to sit;chair	5336
1264	CHANGE	change (V)	to change;to move;debt	944
2423	CHANNEL	channel	ravine;valley;river;obstacle	946
1024	CHARACTER	character	to think	948
1188	CHARCOAL	charcoal	coal;smoke	949
3953	CHARITY	charity	luck	953
1047	PURSUE	chase	hunt;to go	955
2903	CHAT (WITH SOMEBODY)	chat (V)	to speak	958
1887	CHEAP	cheap	good	960
3055	SWINDLE	cheat (V)	to deceive	961
1975	CHECK	check	obstacle	962
1730	CHEEK	cheek	cheek;face;side	964
1976	MERRY	cheerful	luck;to love;to play	967
1569	CHEESE	cheese	beer;milk	969
2765	CHERRY	cherry	fruit	972
1592	CHEST	chest	belly;breast;vessel	975
2318	CHESTNUT	chestnut	nut	976
321	CHEW	chew (V)	to bite;to eat;to drink;to swallow;cheek	977
1318	CHICKEN	chicken	bird	978
301	CHIEFTAIN	chief	host	979
2099	CHILD	children	child	984
2483	COLD (OF WEATHER)	chilly	cold;sick;wind	986
1305	CHIMNEY	chimney	hole	987
1510	CHIN	chin	face;mouth	988
1979	CHISEL	chisel	knife;to break;stick	994
129	CHOKE	choke	obstacle;sick	997
1750	CHOOSE	choose (V)	to take;to want;to know	999
155	CHOP	chop (V)	knife;to break;to measure;to cut;to destroy;to beat	1000
2772	KITCHEN KNIFE	chopper	to cut	1002
1987	CHOPSTICKS	chopsticks	stick;to pinch;plough;handle	1004
2353	CICADA	cicada	insect	1008
1467	CIRCLE	circle	circle;to twist;place;to adhere	1011
2302	CIRCULAR (ROUND IN TWO DIMENSIONS)	circular	circle	1012
2547	CITY	city	to take;house	1016
302	CLAN	clan	person;group;relative	1024
3110	CLAP	clap (V)	to beat	1025
72	CLAW	claw	hand;finger-nail;to take;to scrape	1030
1399	CLAY	clay	dirt;earth	1032
704	CLEAN	clean	clean;to wash;white	1034
2235	CLEAN (SOMETHING)	clean (V)	clean;to wash;to scrape;to sweep;to shine	1035
989	CLEAR	clear	clean;to shine;to see;empty;sky;straight;white	1039
2284	CLEARING	clearing	clean;field	1045
1310	CLEVER	clever	to know;to love	1050
992	CLIFF	cliff	ravine;mountain;edge;stone	1052
1102	CLIMB	climb (V)	top	1053
3257	CLITORIS	clitoris	genitals	1061
326	CLOAK	gown	clothes	2737
1046	SHUT	close (V)	to close;near;to twist;to cover;to take;obstacle	1064
1616	CLOTH	cloth	big;cloth;clothes;to weave;to bind;rope;to cover;skin	1072
158	PUT ON	clothe (V)	clothes	1074
1895	CLOTHES	clothing	clothes	1076
1489	CLOUD	cloud	dark;sky;shadow;smoke	1077
2341	CLOUDY	overcast	shadow	4268
1763	CLUB	club	stick	1083
2395	CONGEAL (BLOOD)	coagulate (V)	hard;thick	1088
2658	COAL	coal	coal;to roast;to burn;hot	1090
2151	COARSE	coarse	thick;rough	1091
1525	COAST	coast	river	1092
603	COAT	coat	clothes;cloth	1093
1065	SPIDER WEB	cobweb	cloth;trap	1101
1511	ROOSTER	cock (V)	rope	1105
1575	COCKROACH	cockroach	insect	1108
970	COCONUT	coconut	fruit	1109
2011	COFFIN	coffin	grave;skin;to cover;vessel	1112
1867	COIN	coin	to change;debt	1117
1287	COLD	cold	cold;snow;to shake;sick;wind	1118
3986	COLLAPSE	collapse (V)	to fall;to shake	1120
2012	COLLAR	collar	neck;hair;back	1121
1994	COLLARBONE	collarbone	hand	1122
1613	COLOR	colour	face;to paint;shame;body;skin;shape;front	1126
1647	FOAL	colt	child	1129
2045	COLUMN	column	stick	1131
1475	COMB	comb	hat;to comb;to scrape;hair	1132
2070	COMB (VERB)	comb (V)	to comb;to scrape	1133
1446	COME	come (V)	to go;to be	1136
581	COME BACK	return (V)	to go;to roll;to take;to twist;end	5060
1107	GO OUT	come out (V)	to go;to flow	1143
1998	COMMAND	command	to speak	1151
102	COMMON COLD (DISEASE)	common	many;together	1157
3978	COMPANION	companion	side;together;one;to follow;to help;similar	1162
2983	COMPANIONSHIP	company	to follow	1164
3429	COMPARE	compare (V)	similar;to measure;together	1165
2606	COMPASS	compass	to press	1168
3642	COMPLAIN	complain (V)	to curse;debt;anger	1176
602	HIDE (CONCEAL)	conceal (V)	shadow;to destroy;to hide;to cover;to take;to sink;to put;thief	1189
1087	CONCEIVE	conceive (V)	heart	1192
3966	CONCEPT	concept	shape	1196
484	CONDEMN	condemn (V)	anger;to curse	1203
3111	CONDUCT	conduct (V)	to follow	1207
287	CONE	cone	nut;grain;tree;fruit	1208
2862	CONNECT	connect (V)	to bind;together;to meet;strong	1228
3844	CONTEMPT	contempt	to curse	1249
3967	CONTENT	content	luck	1252
2898	CONVEY (A MESSAGE)	convey (V)	to carry	1275
1100	COOK (SOMETHING)	cook (V)	to boil;to burn	1278
269	COOKED	cooked	ripe	1279
3653	COOKING POT	cooking pot	vessel	1282
1825	COPPER	copper	metal;red;dirt	1286
549	COPULATE	copulate (V)	to want;to play	1287
1218	ROPE	cord	rope;to bind	1290
840	CORMORANT	cormorant	bird	1292
506	MAIZE	maize	grain	3726
192	CORNER	corner	edge;to bend;horn;side;end;thorn	1294
449	CORN FIELD	cornfield	side	1296
767	CORPSE	corpse	body;grave;old;to break	1299
1725	CORRECT (RIGHT)	correct	straight;true	1301
242	COST	cost	debt	1306
1850	COTTON	cotton	grass;cloth	1309
3099	SOFA	couch	chair	1312
879	COUGH	cough	noise;mucus	1313
1420	COUNT	count (V)	to count;to write;to praise;to think;to speak;to know	1317
1300	COUNTRY	country	place;house;forest;field;earth;edge;to take	1323
1888	PAIR	couple	together;two;to press	1324
3049	COURAGE	courage	heart	1326
1068	COURT	court	house;obstacle	1329
1643	COUSIN	cousin	relative	1331
